date,country,city,newCases,totalCases,totalCases_per_100k_inhabitants
2020-02-25,Brazil,Sao Paulo,1,1,0.00811
2020-02-26,Brazil,Sao Paulo,0,1,0.00811
2020-02-27,Brazil,Sao Paulo,0,1,0.00811
2020-02-28,Brazil,Sao Paulo,1,2,0.01623
2020-02-29,Brazil,Sao Paulo,0,2,0.01623
2020-03-01,Brazil,Sao Paulo,0,2,0.01623
2020-03-02,Brazil,Sao Paulo,0,2,0.01623
2020-03-03,Brazil,Sao Paulo,0,2,0.01623
2020-03-04,Brazil,Sao Paulo,1,3,0.02434
2020-03-05,Brazil,Sao Paulo,3,6,0.04868
2020-03-06,Brazil,Sao Paulo,0,6,0.04868
2020-03-07,Brazil,Sao Paulo,6,12,0.09736
2020-03-08,Brazil,Sao Paulo,3,15,0.1217
2020-03-09,Brazil,Sao Paulo,0,15,0.1217
2020-03-10,Brazil,Sao Paulo,3,18,0.14604
2020-03-11,Brazil,Sao Paulo,11,29,0.23529
2020-03-12,Brazil,Sao Paulo,15,44,0.35699000000000003
2020-03-13,Brazil,Sao Paulo,0,44,0.35699000000000003
2020-03-14,Brazil,Sao Paulo,18,62,0.50303
2020-03-15,Brazil,Sao Paulo,0,62,0.50303
2020-03-16,Brazil,Sao Paulo,83,145,1.17645
2020-03-17,Brazil,Sao Paulo,11,156,1.2657
2020-03-18,Brazil,Sao Paulo,58,214,1.7362799999999998
2020-03-19,Brazil,Sao Paulo,45,259,2.10138
2020-03-20,Brazil,Sao Paulo,47,306,2.48271
2020-03-21,Brazil,Sao Paulo,0,306,2.48271
2020-03-22,Brazil,Sao Paulo,0,306,2.48271
2020-03-23,Brazil,Sao Paulo,0,306,2.48271
2020-03-24,Brazil,Sao Paulo,0,306,2.48271
2020-03-25,Brazil,Sao Paulo,416,722,5.8579
2020-03-26,Brazil,Sao Paulo,177,899,7.29398
2020-03-27,Brazil,Sao Paulo,145,1044,8.47043
2020-03-28,Brazil,Sao Paulo,0,1044,8.47043
2020-03-29,Brazil,Sao Paulo,0,1044,8.47043
2020-03-30,Brazil,Sao Paulo,189,1233,10.00387
2020-03-31,Brazil,Sao Paulo,652,1885,15.293829999999998
2020-04-01,Brazil,Sao Paulo,533,2418,19.61829
2020-04-02,Brazil,Sao Paulo,397,2815,22.83933
