date,CASE_COUNT,CASE_COUNT_7DAY_AVG,Cal_per_100K_moving7_avg_new_cases
2020-02-29,1,0,0.0
2020-03-01,0,0,0.0
2020-03-02,0,0,0.0
2020-03-03,1,0,0.0
2020-03-04,5,0,0.0
2020-03-05,3,0,0.0
2020-03-06,8,3,0.02
2020-03-07,7,3,0.02
2020-03-08,21,6,0.03
2020-03-09,57,15,0.08
2020-03-10,69,24,0.13
2020-03-11,155,46,0.24
2020-03-12,355,96,0.51
2020-03-13,619,183,0.97
2020-03-14,642,274,1.46
2020-03-15,1035,419,2.23
2020-03-16,2121,714,3.8
2020-03-17,2452,1054,5.61
2020-03-18,2971,1456,7.74
2020-03-19,3707,1935,10.29
2020-03-20,4007,2419,12.86
2020-03-21,2638,2704,14.38
2020-03-22,2580,2925,15.56
2020-03-23,3570,3132,16.66
2020-03-24,4500,3425,18.21
2020-03-25,4874,3697,19.66
2020-03-26,5046,3888,20.68
2020-03-27,5117,4046,21.52
2020-03-28,3480,4167,22.16
2020-03-29,3560,4307,22.9
2020-03-30,6130,4672,24.85
2020-03-31,5459,4809,25.57
2020-04-01,5448,4891,26.01
2020-04-02,5747,4992,26.55
2020-04-03,5669,5070,26.96
2020-04-04,3864,5125,27.25
2020-04-05,3781,5157,27.43
2020-04-06,6354,5189,27.6
2020-04-07,6042,5272,28.04
2020-04-08,5579,5291,28.14
2020-04-09,5072,5194,27.62
2020-04-10,4510,5029,26.74
2020-04-11,3733,5010,26.64
2020-04-12,2887,4882,25.96
2020-04-13,3312,4448,23.65
2020-04-14,4144,4177,22.21
2020-04-15,3875,3933,20.92
2020-04-16,3531,3713,19.75
2020-04-17,3584,3581,19.04
2020-04-18,2172,3358,17.86
2020-04-19,2345,3280,17.44
2020-04-20,3792,3349,17.81
2020-04-21,3063,3195,16.99
2020-04-22,3447,3133,16.66
2020-04-23,2841,3035,16.14
2020-04-24,2535,2885,15.34
2020-04-25,1595,2803,14.91
2020-04-26,1003,2611,13.89
2020-04-27,2289,2396,12.74
2020-04-28,2727,2348,12.49
2020-04-29,2340,2190,11.65
2020-04-30,2022,2073,11.02
2020-05-01,1887,1980,10.53
2020-05-02,1058,1904,10.13
2020-05-03,787,1873,9.96
2020-05-04,1550,1767,9.4
2020-05-05,1513,1594,8.48
2020-05-06,1398,1459,7.76
2020-05-07,1239,1347,7.16
2020-05-08,1081,1232,6.55
2020-05-09,657,1175,6.25
2020-05-10,457,1128,6.0
2020-05-11,1231,1082,5.75
2020-05-12,1285,1050,5.58
2020-05-13,1334,1041,5.54
2020-05-14,1110,1022,5.44
2020-05-15,873,992,5.28
2020-05-16,485,968,5.15
2020-05-17,360,954,5.07
2020-05-18,895,906,4.82
2020-05-19,1003,866,4.61
2020-05-20,1077,829,4.41
2020-05-21,1069,823,4.38
2020-05-22,1037,847,4.5
2020-05-23,456,842,4.48
2020-05-24,467,858,4.56
2020-05-25,465,796,4.23
2020-05-26,1053,803,4.27
2020-05-27,744,756,4.02
2020-05-28,646,695,3.7
2020-05-29,642,639,3.4
2020-05-30,348,624,3.32
2020-05-31,230,590,3.14
2020-06-01,686,621,3.3
2020-06-02,572,553,2.94
2020-06-03,514,520,2.77
2020-06-04,523,502,2.67
2020-06-05,403,468,2.49
2020-06-06,247,454,2.41
2020-06-07,197,449,2.39
2020-06-08,450,415,2.21
2020-06-09,421,394,2.1
2020-06-10,365,372,1.98
2020-06-11,365,350,1.86
2020-06-12,410,351,1.87
2020-06-13,196,343,1.82
2020-06-14,180,341,1.81
2020-06-15,381,331,1.76
2020-06-16,420,331,1.76
2020-06-17,356,330,1.75
2020-06-18,378,332,1.77
2020-06-19,362,325,1.73
2020-06-20,203,326,1.73
2020-06-21,172,325,1.73
2020-06-22,402,328,1.74
2020-06-23,382,322,1.71
2020-06-24,381,326,1.73
2020-06-25,299,314,1.67
2020-06-26,316,308,1.64
2020-06-27,206,308,1.64
2020-06-28,202,313,1.66
2020-06-29,437,318,1.69
2020-06-30,442,326,1.73
2020-07-01,396,328,1.74
2020-07-02,416,345,1.83
2020-07-03,235,333,1.77
2020-07-04,120,321,1.71
2020-07-05,154,314,1.67
2020-07-06,434,314,1.67
2020-07-07,461,317,1.69
2020-07-08,437,322,1.71
2020-07-09,393,319,1.7
2020-07-10,307,329,1.75
2020-07-11,259,349,1.86
2020-07-12,224,359,1.91
2020-07-13,483,366,1.95
2020-07-14,403,358,1.9
2020-07-15,439,358,1.9
2020-07-16,413,361,1.92
2020-07-17,417,377,2.0
2020-07-18,216,371,1.97
2020-07-19,176,364,1.94
2020-07-20,402,352,1.87
2020-07-21,340,343,1.82
2020-07-22,330,328,1.74
2020-07-23,308,313,1.66
2020-07-24,300,296,1.57
2020-07-25,153,287,1.53
2020-07-26,140,282,1.5
2020-07-27,314,269,1.43
2020-07-28,315,266,1.41
2020-07-29,289,260,1.38
2020-07-30,274,255,1.36
2020-07-31,263,250,1.33
2020-08-01,189,255,1.36
2020-08-02,138,255,1.36
2020-08-03,348,259,1.38
2020-08-04,187,241,1.28
2020-08-05,298,242,1.29
2020-08-06,290,245,1.3
2020-08-07,255,244,1.3
2020-08-08,161,240,1.28
2020-08-09,133,239,1.27
2020-08-10,311,234,1.24
2020-08-11,264,245,1.3
2020-08-12,320,248,1.32
2020-08-13,277,246,1.31
2020-08-14,277,249,1.32
2020-08-15,151,248,1.32
2020-08-16,140,249,1.32
2020-08-17,333,252,1.34
2020-08-18,285,255,1.36
2020-08-19,257,246,1.31
2020-08-20,227,239,1.27
2020-08-21,252,235,1.25
2020-08-22,136,233,1.24
2020-08-23,150,234,1.24
2020-08-24,298,229,1.22
2020-08-25,283,229,1.22
2020-08-26,313,237,1.26
2020-08-27,273,244,1.3
2020-08-28,279,247,1.31
2020-08-29,128,246,1.31
2020-08-30,186,251,1.33
2020-08-31,315,254,1.35
2020-09-01,295,256,1.36
2020-09-02,271,250,1.33
2020-09-03,273,250,1.33
2020-09-04,230,243,1.29
2020-09-05,156,247,1.31
2020-09-06,207,250,1.33
2020-09-07,218,236,1.26
2020-09-08,395,250,1.33
2020-09-09,352,262,1.39
2020-09-10,323,269,1.43
2020-09-11,313,281,1.49
2020-09-12,202,287,1.53
2020-09-13,254,294,1.56
2020-09-14,434,325,1.73
2020-09-15,338,317,1.69
2020-09-16,367,319,1.7
2020-09-17,353,323,1.72
2020-09-18,283,319,1.7
2020-09-19,158,312,1.66
2020-09-20,158,299,1.59
2020-09-21,513,310,1.65
2020-09-22,404,319,1.7
2020-09-23,531,343,1.82
2020-09-24,476,360,1.91
2020-09-25,456,385,2.05
2020-09-26,279,402,2.14
2020-09-27,382,434,2.31
2020-09-28,436,423,2.25
2020-09-29,686,464,2.47
2020-09-30,583,471,2.5
2020-10-01,614,491,2.61
2020-10-02,597,511,2.72
2020-10-03,277,511,2.72
2020-10-04,335,504,2.68
2020-10-05,763,551,2.93
2020-10-06,571,534,2.84
2020-10-07,542,528,2.81
2020-10-08,523,515,2.74
2020-10-09,524,505,2.69
2020-10-10,313,510,2.71
2020-10-11,281,502,2.67
2020-10-12,515,467,2.48
2020-10-13,589,470,2.5
2020-10-14,581,475,2.53
2020-10-15,600,486,2.58
2020-10-16,503,483,2.57
2020-10-17,366,491,2.61
2020-10-18,411,509,2.71
2020-10-19,626,525,2.79
2020-10-20,601,527,2.8
2020-10-21,653,537,2.86
2020-10-22,758,560,2.98
2020-10-23,602,574,3.05
2020-10-24,385,577,3.07
2020-10-25,362,570,3.03
2020-10-26,695,579,3.08
2020-10-27,740,599,3.19
2020-10-28,784,618,3.29
2020-10-29,619,598,3.18
2020-10-30,653,605,3.22
2020-10-31,404,608,3.23
2020-11-01,500,628,3.34
2020-11-02,952,665,3.54
2020-11-03,903,688,3.66
2020-11-04,1111,735,3.91
2020-11-05,1140,809,4.3
2020-11-06,1035,864,4.59
2020-11-07,843,926,4.92
2020-11-08,789,968,5.15
2020-11-09,1544,1052,5.59
2020-11-10,1594,1151,6.12
2020-11-11,1538,1212,6.45
2020-11-12,1501,1263,6.72
2020-11-13,1495,1329,7.07
2020-11-14,1026,1355,7.21
2020-11-15,896,1371,7.29
2020-11-16,1832,1412,7.51
2020-11-17,1728,1431,7.61
2020-11-18,1752,1461,7.77
2020-11-19,1856,1512,8.04
2020-11-20,1772,1552,8.25
2020-11-21,1290,1589,8.45
2020-11-22,1147,1625,8.64
2020-11-23,2315,1694,9.01
2020-11-24,2071,1743,9.27
2020-11-25,2368,1831,9.74
2020-11-26,808,1682,8.94
2020-11-27,2300,1757,9.34
2020-11-28,1786,1828,9.72
2020-11-29,1729,1911,10.16
2020-11-30,2802,1981,10.53
2020-12-01,3142,2134,11.35
2020-12-02,3006,2225,11.83
2020-12-03,2883,2521,13.41
2020-12-04,2810,2594,13.79
2020-12-05,1880,2607,13.86
2020-12-06,1753,2611,13.89
2020-12-07,3309,2683,14.27
2020-12-08,3065,2672,14.21
2020-12-09,3108,2687,14.29
2020-12-10,3149,2725,14.49
2020-12-11,2982,2749,14.62
2020-12-12,2202,2795,14.86
2020-12-13,2178,2856,15.19
2020-12-14,3578,2895,15.4
2020-12-15,3669,2981,15.85
2020-12-16,2785,2935,15.61
2020-12-17,1925,2760,14.68
2020-12-18,3430,2824,15.02
2020-12-19,2558,2875,15.29
2020-12-20,2351,2899,15.42
2020-12-21,4341,3008,16.0
2020-12-22,4102,3070,16.33
2020-12-23,3845,3222,17.13
2020-12-24,3017,3378,17.96
2020-12-25,1049,3038,16.16
2020-12-26,3449,3165,16.83
2020-12-27,2885,3241,17.24
2020-12-28,5384,3390,18.03
2020-12-29,5210,3548,18.87
2020-12-30,4975,3710,19.73
2020-12-31,3387,3763,20.01
2021-01-01,1326,3802,20.22
2021-01-02,4195,3909,20.79
2021-01-03,3449,3989,21.21
2021-01-04,6578,4160,22.12
2021-01-05,6143,4293,22.83
2021-01-06,5666,4392,23.36
2021-01-07,5409,4681,24.89
2021-01-08,5299,5248,27.91
2021-01-09,3691,5176,27.53
2021-01-10,3199,5141,27.34
2021-01-11,5898,5044,26.82
2021-01-12,5224,4912,26.12
2021-01-13,5166,4841,25.74
2021-01-14,5252,4818,25.62
2021-01-15,4797,4747,25.24
2021-01-16,3479,4716,25.08
2021-01-17,2903,4674,24.86
2021-01-18,4631,4493,23.89
2021-01-19,5133,4480,23.82
2021-01-20,4910,4444,23.63
2021-01-21,4921,4396,23.38
2021-01-22,4698,4382,23.3
2021-01-23,3279,4354,23.15
2021-01-24,2846,4345,23.11
2021-01-25,5659,4492,23.89
2021-01-26,4702,4431,23.56
2021-01-27,4787,4413,23.47
2021-01-28,4677,4378,23.28
2021-01-29,3679,4233,22.51
2021-01-30,2858,4173,22.19
2021-01-31,2890,4179,22.22
2021-02-01,977,3510,18.67
2021-02-02,2665,3219,17.12
2021-02-03,5139,3269,17.38
2021-02-04,4861,3296,17.53
2021-02-05,4159,3364,17.89
2021-02-06,3084,3396,18.06
2021-02-07,1650,3219,17.12
2021-02-08,4437,3714,19.75
2021-02-09,3733,3866,20.56
2021-02-10,3778,3672,19.53
2021-02-11,3422,3466,18.43
2021-02-12,3322,3347,17.8
2021-02-13,2204,3221,17.13
2021-02-14,1896,3256,17.32
2021-02-15,2851,3029,16.11
2021-02-16,3723,3028,16.1
2021-02-17,3440,2980,15.85
2021-02-18,2045,2783,14.8
2021-02-19,3023,2740,14.57
2021-02-20,2497,2782,14.79
2021-02-21,2281,2837,15.09
2021-02-22,3620,2947,15.67
2021-02-23,3475,2912,15.49
2021-02-24,3462,2915,15.5
2021-02-25,3483,3120,16.59
2021-02-26,3245,3152,16.76
2021-02-27,2010,3082,16.39
2021-02-28,2038,3048,16.21
2021-03-01,3729,3063,16.29
2021-03-02,3113,3011,16.01
2021-03-03,3243,2980,15.85
2021-03-04,3122,2929,15.58
2021-03-05,2888,2878,15.31
2021-03-06,2048,2883,15.33
2021-03-07,1878,2860,15.21
2021-03-08,3401,2813,14.96
2021-03-09,3333,2845,15.13
2021-03-10,3204,2839,15.1
2021-03-11,3101,2836,15.08
2021-03-12,3207,2882,15.33
2021-03-13,2173,2900,15.42
2021-03-14,1917,2905,15.45
2021-03-15,3397,2905,15.45
2021-03-16,3196,2885,15.34
2021-03-17,3176,2881,15.32
2021-03-18,2917,2855,15.18
2021-03-19,3049,2832,15.06
2021-03-20,2159,2830,15.05
2021-03-21,2081,2854,15.18
2021-03-22,3857,2919,15.52
2021-03-23,3227,2924,15.55
2021-03-24,3451,2963,15.76
2021-03-25,3762,3084,16.4
2021-03-26,3407,3135,16.67
2021-03-27,2209,3142,16.71
2021-03-28,1741,3093,16.45
2021-03-29,3533,3047,16.2
2021-03-30,3169,3039,16.16
2021-03-31,3175,2999,15.95
2021-04-01,2856,2870,15.26
2021-04-02,2622,2758,14.67
2021-04-03,2045,2734,14.54
2021-04-04,1469,2696,14.34
2021-04-05,3274,2659,14.14
2021-04-06,3005,2635,14.01
2021-04-07,2762,2576,13.7
2021-04-08,2568,2535,13.48
2021-04-09,2468,2513,13.36
2021-04-10,1724,2467,13.12
2021-04-11,1312,2445,13.0
2021-04-12,2533,2339,12.44
2021-04-13,2360,2247,11.95
2021-04-14,2245,2173,11.56
2021-04-15,2017,2094,11.14
2021-04-16,1838,2004,10.66
2021-04-17,1270,1939,10.31
2021-04-18,1054,1902,10.11
2021-04-19,1886,1810,9.63
2021-04-20,1596,1701,9.05
2021-04-21,1416,1582,8.41
2021-04-22,1359,1488,7.91
2021-04-23,1290,1410,7.5
2021-04-24,850,1350,7.18
2021-04-25,754,1307,6.95
2021-04-26,1363,1233,6.56
2021-04-27,1135,1167,6.21
2021-04-28,1210,1137,6.05
2021-04-29,1051,1093,5.81
2021-04-30,956,1046,5.56
2021-05-01,554,1003,5.33
2021-05-02,551,974,5.18
2021-05-03,906,909,4.83
2021-05-04,853,869,4.62
2021-05-05,759,804,4.28
2021-05-06,755,762,4.05
2021-05-07,691,724,3.85
2021-05-08,372,698,3.71
2021-05-09,325,666,3.54
2021-05-10,640,628,3.34
2021-05-11,613,594,3.16
2021-05-12,573,567,3.02
2021-05-13,491,529,2.81
2021-05-14,463,497,2.64
2021-05-15,278,483,2.57
2021-05-16,269,475,2.53
2021-05-17,443,447,2.38
2021-05-18,392,416,2.21
2021-05-19,349,384,2.04
2021-05-20,352,364,1.94
2021-05-21,316,343,1.82
2021-05-22,196,331,1.76
