date,new cases,Cal_avg_new_cases_7_days,avg_cases_per_100_k
2020-02-25,0,0.0,0.0
2020-02-26,0,0.0,0.0
2020-02-27,0,0.0,0.0
2020-02-28,1,0.0,0.0
2020-02-29,0,0.0,0.0
2020-03-01,0,0.0,0.0
2020-03-02,0,0.0,0.0
2020-03-03,0,0.0,0.0
2020-03-04,1,0.0,0.0
2020-03-05,3,1.0,0.01
2020-03-06,0,1.0,0.01
2020-03-07,6,1.0,0.01
2020-03-08,3,2.0,0.02
2020-03-09,0,2.0,0.02
2020-03-10,3,2.0,0.02
2020-03-11,11,4.0,0.03
2020-03-12,15,5.0,0.04
2020-03-13,0,5.0,0.04
2020-03-14,18,7.0,0.06
2020-03-15,0,7.0,0.06
2020-03-16,83,19.0,0.16
2020-03-17,11,20.0,0.17
2020-03-18,58,26.0,0.22
2020-03-19,45,31.0,0.26
2020-03-20,47,37.0,0.31
2020-03-21,0,35.0,0.29
2020-03-22,0,35.0,0.29
2020-03-23,0,23.0,0.19
2020-03-24,0,21.0,0.18
2020-03-25,416,73.0,0.62
2020-03-26,177,91.0,0.77
2020-03-27,145,105.0,0.88
2020-03-28,0,105.0,0.88
2020-03-29,0,105.0,0.88
2020-03-30,189,132.0,1.11
2020-03-31,652,226.0,1.9
2020-04-01,533,242.0,2.04
2020-04-02,397,274.0,2.31
2020-04-03,387,308.0,2.59
2020-04-04,294,350.0,2.95
2020-04-05,116,367.0,3.09
2020-04-06,142,360.0,3.03
2020-04-07,504,339.0,2.86
2020-04-08,689,361.0,3.04
2020-04-09,530,380.0,3.2
2020-04-10,505,397.0,3.34
2020-04-11,149,376.0,3.17
2020-04-12,221,391.0,3.29
2020-04-13,66,381.0,3.21
2020-04-14,287,350.0,2.95
2020-04-15,1059,402.0,3.39
2020-04-16,144,347.0,2.92
2020-04-17,836,395.0,3.33
2020-04-18,684,471.0,3.97
2020-04-19,240,474.0,3.99
2020-04-20,147,485.0,4.09
2020-04-21,527,520.0,4.38
2020-04-22,349,418.0,3.52
2020-04-23,534,474.0,3.99
2020-04-24,575,437.0,3.68
2020-04-25,1298,524.0,4.41
2020-04-26,415,549.0,4.63
2020-04-27,476,596.0,5.02
2020-04-28,1408,722.0,6.08
2020-04-29,1241,850.0,7.16
2020-04-30,1511,989.0,8.33
2020-05-01,938,1041.0,8.77
2020-05-02,407,914.0,7.7
2020-05-03,328,901.0,7.59
2020-05-04,251,869.0,7.32
2020-05-05,1067,820.0,6.91
2020-05-06,2047,936.0,7.89
2020-05-07,1086,875.0,7.37
2020-05-08,1094,897.0,7.56
2020-05-09,1420,1042.0,8.78
2020-05-10,520,1069.0,9.01
2020-05-11,464,1100.0,9.27
2020-05-12,911,1077.0,9.07
2020-05-13,1720,1031.0,8.69
2020-05-14,1471,1086.0,9.15
2020-05-15,2119,1232.0,10.38
2020-05-16,1437,1235.0,10.4
2020-05-17,502,1232.0,10.38
2020-05-18,257,1202.0,10.13
2020-05-19,1452,1280.0,10.78
2020-05-20,1826,1295.0,10.91
2020-05-21,1985,1368.0,11.53
2020-05-22,1522,1283.0,10.81
2020-05-23,1914,1351.0,11.38
2020-05-24,640,1371.0,11.55
2020-05-25,677,1431.0,12.06
2020-05-26,1350,1416.0,11.93
2020-05-27,1710,1400.0,11.79
2020-05-28,3455,1610.0,13.56
2020-05-29,3022,1824.0,15.37
2020-05-30,2878,1962.0,16.53
2020-05-31,1512,2086.0,17.57
2020-06-01,995,2132.0,17.96
2020-06-02,3317,2413.0,20.33
2020-06-03,2334,2502.0,21.08
2020-06-04,2570,2375.0,20.01
2020-06-05,2106,2245.0,18.91
2020-06-06,2408,2177.0,18.34
2020-06-07,935,2095.0,17.65
2020-06-08,903,2082.0,17.54
2020-06-09,2327,1940.0,16.34
2020-06-10,2431,1954.0,16.46
2020-06-11,2619,1961.0,16.52
2020-06-12,2546,2024.0,17.05
2020-06-13,2403,2023.0,17.04
2020-06-14,3173,2343.0,19.74
2020-06-15,2250,2536.0,21.37
2020-06-16,4228,2807.0,23.65
2020-06-17,456,2525.0,21.27
2020-06-18,398,2208.0,18.6
2020-06-19,6877,2826.0,23.81
2020-06-20,184,2509.0,21.14
2020-06-21,949,2192.0,18.47
2020-06-22,1191,2040.0,17.19
2020-06-23,2483,1791.0,15.09
2020-06-24,3047,2161.0,18.21
2020-06-25,4050,2683.0,22.6
2020-06-26,3852,2251.0,18.96
2020-06-27,1596,2453.0,20.67
2020-06-28,1346,2509.0,21.14
2020-06-29,907,2469.0,20.8
2020-06-30,2107,2415.0,20.35
2020-07-01,2209,2295.0,19.34
2020-07-02,5656,2525.0,21.27
2020-07-03,2090,2273.0,19.15
2020-07-04,688,2143.0,18.05
2020-07-05,2109,2252.0,18.97
2020-07-06,360,2174.0,18.32
2020-07-07,2271,2198.0,18.52
2020-07-08,2071,2178.0,18.35
2020-07-09,2166,1679.0,14.15
2020-07-10,2692,1765.0,14.87
2020-07-11,1934,1943.0,16.37
