Reported_Date,City,is_newyork,Population,Data Source,New_Cases,mavg_7day_new_cases,new_cases_per_100K,mavg_7day_per_100k_new_cases,daily_temp,daily_humidity,mavg_7_temp,mavg_7_humidity,mavg_15_temp,mavg_15_humidity
2/29/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',1,0,0.01,0,0.4,44.08,5.7,58.96,3.5,56.27
3/1/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',0,0,0,0,-0.1,45.71,5.39,59.61,3.43,55.59
3/2/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',0,0,0,0,6.61,52.25,4.49,61.09,3.82,55.35
3/3/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',1,0,0.01,0,11.27,70.72,4.32,61.56,4.19,54.4
3/4/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',5,0,0.03,0,10.21,58.76,4.69,60.67,4.58,55.59
3/5/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',3,0,0.02,0,7.84,48.25,5.04,55.74,4.9,55.02
3/6/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',8,3,0.04,0.02,5.15,77.19,5.33,52.22,4.97,54.46
3/7/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',7,3,0.04,0.02,4.51,59.54,5.91,56.71,5.27,56.7
3/8/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',21,6,0.11,0.03,6.38,37.08,6.5,58.92,5.72,57.95
3/9/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',57,15,0.3,0.08,12.35,36.33,7.42,57.68,5.98,57.78
3/10/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',69,24,0.37,0.13,14.87,48.21,8.24,55.41,6.38,57.85
3/11/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',155,46,0.82,0.24,11.42,54.38,8.76,52.19,6.85,57.8
3/12/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',355,96,1.89,0.51,7.59,61.71,8.93,51.57,7.04,56.3
3/13/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',619,183,3.29,0.97,11.84,81.48,8.9,53.49,7.03,54.19
3/14/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',642,274,3.41,1.46,10.22,33.46,9.85,54.1,7.43,54.76
3/15/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',1035,419,5.5,2.23,8.44,39.46,10.67,50.38,8.04,53.94
3/16/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',2121,714,11.28,3.8,4.49,43,10.96,50.72,8.57,53.64
3/17/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',2452,1054,13.04,5.61,7.22,78.04,9.84,51.67,8.88,53.45
3/18/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',2971,1456,15.8,7.74,8.53,52.33,8.75,55.93,8.92,55.17
3/19/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',3707,1935,19.71,10.29,7.36,82.41,8.33,55.64,8.74,53.95
3/20/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',4007,2419,21.31,12.86,12.33,83.17,8.3,58.6,8.55,55.52
3/21/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',2638,2704,14.03,14.38,11.95,44.62,8.37,58.84,8.85,57.85
3/22/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',2580,2925,13.72,15.56,4.13,36.67,8.62,60.43,9.3,55.68
3/23/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',3570,3132,18.99,16.66,3.63,80.72,8,60.03,9.27,54.16
3/24/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',4500,3425,23.93,18.21,6.22,70.75,7.88,65.42,9.09,57.07
3/25/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',4874,3697,25.92,19.66,6.35,71.75,7.74,64.38,8.68,59.36
3/26/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',5046,3888,26.83,20.68,7.18,61.58,7.42,67.16,8.11,60.93
3/27/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',5117,4046,27.21,21.52,12.93,58.38,7.4,64.18,7.83,61.41
3/28/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',3480,4167,18.51,22.16,9.76,59.32,7.48,60.64,8.19,61.19
3/29/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',3560,4307,18.93,22.9,7.92,92.83,7.17,62.74,8.05,59.71
3/30/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',6130,4672,32.6,24.85,7.89,86.29,7.71,70.76,7.9,63.67
3/31/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',5459,4809,29.03,25.57,6.67,81.88,8.32,71.56,7.86,66.79
4/1/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',5448,4891,28.97,26.01,7.19,60.25,8.39,73.15,8,69.38
4/2/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',5747,4992,30.56,26.55,8.88,45.58,8.51,71.5,8,68.2
4/3/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',5669,5070,30.15,26.96,9.86,60.88,8.75,69.22,8.03,67.75
4/4/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',3864,5125,20.55,27.25,10.71,72.04,8.31,69.58,8.19,66.31
4/5/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',3781,5157,20.11,27.43,10.81,76.21,8.45,71.39,8.08,65.57
4/6/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',6354,5189,33.79,27.6,12.84,61.5,8.86,69.02,8.01,67.68
4/7/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',6042,5272,32.13,28.04,13.93,35.54,9.57,65.48,8.59,69.33
4/8/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',5579,5291,29.67,28.14,14,67.75,10.6,58.86,9.28,66.32
4/9/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',5072,5194,26.97,27.62,10.93,76.96,11.58,59.93,9.79,66.12
4/10/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',4510,5029,23.98,26.74,6.9,53.54,11.87,64.41,10.1,66.47
4/11/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',3733,5010,19.85,26.64,7.62,39.04,11.45,63.36,10.08,65.93
4/12/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',2887,4882,15.35,25.96,10.67,48.96,11,58.65,9.73,64.64
4/13/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',3312,4448,17.61,23.65,14.32,88.31,10.98,54.76,9.79,63.95
4/14/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',4144,4177,22.04,22.21,12.49,49.67,11.2,58.59,10.21,63.65
4/15/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',3875,3933,20.61,20.92,8.79,44.67,10.99,60.6,10.52,61.21
4/16/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',3531,3713,18.78,19.75,7.69,39,10.25,57.31,10.66,58.73
4/17/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',3584,3581,19.06,19.04,5.62,48.58,9.78,51.88,10.7,57.31
4/18/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',2172,3358,11.55,17.86,6.64,82.36,9.6,51.18,10.48,57.51
4/19/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',2345,3280,12.47,17.44,9.08,51.79,9.46,57.36,10.26,58.94
4/20/2020,New York,1,18804000,'https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv',3792,3349,20.17,17.81,11.78,46.96,9.23,57.77,10.16,57.59
