Date,Country,City,Cumalative Cases,Population_millions,DateCollected,CasesMillionInhab
2020-05-20,Argentina,Buenos Aires,4718.0,3075646,2020.0,1534.0
2020-05-20,Brasil,Brasilia,5161.0,3015268,2019.0,1712.0
2020-05-20,Chile,Santiago de Chile,41179.0,7460708,2020.0,5519.0
2020-05-21,Ecuador,Guayaquil,9392.0,2723665,2020.0,3448.0
2020-05-20,México,Ciudad de México,15844.0,8985339,2015.0,1763.0
2020-05-20,Perú,Lima,68497.0,9485405,2017.0,7221.0
2020-05-20,Uruguay,Montevideo,538.0,1351162,2020.0,398.0
2020-05-20,Brasil,Sao Paulo,69859.0,12106920,2017.0,5770.0
2020-05-20,Estados Unidos,New York,354370.0,8398748,2018.0,42193.0
2020-05-20,España,Madrid,67049.0,3266126,2020.0,20529.0
2020-05-20,Colombia,Bogotá,6189.0,7743955,2020.0,799.0
2020-05-21,Argentina,Buenos Aires,5200.0,3075646,2020.0,1691.0
2020-05-21,Brasil,Brasilia,5542.0,3015268,2019.0,1838.0
2020-05-21,Chile,Santiago de Chile,44641.0,7460708,2020.0,5983.0
2020-05-22,Ecuador,Guayaquil,9395.0,2723665,2020.0,3449.0
2020-05-23,Ecuador,Guayaquil,9395.0,2723665,2020.0,3449.0
2020-05-21,México,Ciudad de México,16758.0,8985339,2015.0,1865.0
2020-05-21,Perú,Lima,71361.0,9485405,2017.0,7523.0
2020-05-21,Uruguay,Montevideo,539.0,1351162,2020.0,399.0
2020-05-21,Brasil,Sao Paulo,73739.0,12106920,2017.0,6091.0
2020-05-21,Estados Unidos,New York,356458.0,8398748,2018.0,42442.0
2020-05-21,España,Madrid,67049.0,3266126,2020.0,20529.0
2020-05-21,Colombia,Bogotá,6311.0,7743955,2020.0,815.0
2020-05-22,Colombia,Bogotá,6591.0,7743955,2020.0,851.0
2020-05-22,Argentina,Buenos Aires,5677.0,3075646,2020.0,1846.0
2020-05-22,Brasil,Brasilia,5948.0,3015268,2019.0,1973.0
2020-05-22,Chile,Santiago de Chile,48350.0,7460708,2020.0,6481.0
2020-05-24,Ecuador,Guayaquil,9606.0,2723665,2020.0,3527.0
2020-05-25,Ecuador,Guayaquil,9624.0,2723665,2020.0,3533.0
2020-05-22,México,Ciudad de México,17690.0,8985339,2015.0,1969.0
2020-05-22,Perú,Lima,74583.0,9485405,2017.0,7863.0
2020-05-22,Uruguay,Montevideo,542.0,1351162,2020.0,401.0
2020-05-22,Brasil,Sao Paulo,76871.0,12106920,2017.0,6349.0
2020-05-22,Estados Unidos,New York,358154.0,8398748,2018.0,42644.0
2020-05-22,España,Madrid,67425.0,3266126,2020.0,20644.0
2020-05-23,Colombia,Bogotá,6972.0,7743955,2020.0,900.0
2020-05-23,Argentina,Buenos Aires,6146.0,3075646,2020.0,1998.0
2020-05-23,Brasil,Brasilia,6251.0,3015268,2019.0,2073.0
2020-05-23,Chile,Santiago de Chile,51399.0,7460708,2020.0,6889.0
2020-05-26,Ecuador,Guayaquil,9637.0,2723665,2020.0,3538.0
2020-05-27,Ecuador,Guayaquil,9637.0,2723665,2020.0,3538.0
2020-05-23,México,Ciudad de México,18912.0,8985339,2015.0,2105.0
2020-05-23,Perú,Lima,77376.0,9485405,2017.0,8157.0
2020-05-23,Uruguay,Montevideo,544.0,1351162,2020.0,403.0
2020-05-23,Brasil,Sao Paulo,76871.0,12106920,2017.0,6349.0
2020-05-23,Estados Unidos,New York,359926.0,8398748,2018.0,42855.0
2020-05-23,España,Madrid,67610.0,3266126,2020.0,20700.0
2020-05-24,Colombia,Bogotá,7211.0,7743955,2020.0,931.0
2020-05-24,Argentina,Buenos Aires,6146.0,3075646,2020.0,1998.0
2020-05-24,Brasil,Brasilia,6638.0,3015268,2019.0,2201.0
2020-05-24,Chile,Santiago de Chile,58930.0,7460708,2020.0,7899.0
2020-05-28,Ecuador,Guayaquil,9650.0,2723665,2020.0,3543.0
2020-05-29,Ecuador,Guayaquil,9653.0,2723665,2020.0,3544.0
2020-05-24,México,Ciudad de México,19682.0,8985339,2015.0,2190.0
2020-05-24,Perú,Lima,78299.0,9485405,2017.0,8255.0
2020-05-24,Uruguay,Montevideo,549.0,1351162,2020.0,406.0
2020-05-24,Brasil,Sao Paulo,82161.0,12106920,2017.0,6786.0
2020-05-24,Estados Unidos,New York,361515.0,8398748,2018.0,43044.0
2020-05-24,España,Madrid,67871.0,3266126,2020.0,20780.0
2020-05-25,Colombia,Bogotá,7386.0,7743955,2020.0,954.0
2020-05-25,Argentina,Buenos Aires,7153.0,3075646,2020.0,2326.0
2020-05-25,Brasil,Brasilia,6930.0,3015268,2019.0,2298.0
2020-05-25,Chile,Santiago de Chile,58930.0,7460708,2020.0,7899.0
2020-05-30,Ecuador,Guayaquil,9653.0,2723665,2020.0,3544.0
2020-05-31,Ecuador,Guayaquil,9653.0,2723665,2020.0,3544.0
2020-05-25,México,Ciudad de México,20235.0,8985339,2015.0,2252.0
2020-05-25,Perú,Lima,82138.0,9485405,2017.0,8659.0
2020-05-25,Uruguay,Montevideo,549.0,1351162,2020.0,406.0
2020-05-25,Brasil,Sao Paulo,83625.0,12106920,2017.0,6907.0
2020-05-25,Estados Unidos,New York,362764.0,8398748,2018.0,43193.0
2020-05-25,España,Madrid,67932.0,3266126,2020.0,20799.0
2020-05-26,Colombia,Bogotá,7743.0,7743955,2020.0,1000.0
2020-05-26,Argentina,Buenos Aires,7474.0,3075646,2020.0,2430.0
2020-05-26,Brasil,Brasilia,7210.0,3015268,2019.0,2391.0
2020-05-26,Chile,Santiago de Chile,62285.0,7460708,2020.0,8348.0
2020-01-06,Ecuador,Guayaquil,9653.0,2723665,2020.0,3544.0
2020-02-06,Ecuador,Guayaquil,9653.0,2723665,2020.0,3544.0
2020-05-26,México,Ciudad de México,20999.0,8985339,2015.0,2337.0
2020-05-26,Perú,Lima,85950.0,9485405,2017.0,9061.0
2020-05-26,Uruguay,Montevideo,550.0,1351162,2020.0,407.0
2020-05-26,Brasil,Sao Paulo,806017.0,12106920,2017.0,66575.0
2020-05-26,Estados Unidos,New York,363836.0,8398748,2018.0,43320.0
2020-05-26,España,Madrid,68066.0,3266126,2020.0,20840.0
2020-05-27,Colombia,Bogotá,8045.0,7743955,2020.0,1039.0
2020-05-27,Argentina,Buenos Aires,7936.0,3075646,2020.0,2580.0
2020-05-27,Brasil,Brasilia,7761.0,3015268,2019.0,2574.0
2020-05-27,Chile,Santiago de Chile,66011.0,7460708,2020.0,8848.0
2020-03-06,Ecuador,Guayaquil,9653.0,2723665,2020.0,3544.0
2020-04-06,Ecuador,Guayaquil,9653.0,2723665,2020.0,3544.0
2020-05-27,México,Ciudad de México,21826.0,8985339,2015.0,2429.0
2020-05-27,Perú,Lima,89970.0,9485405,2017.0,9485.0
2020-05-27,Uruguay,Montevideo,554.0,1351162,2020.0,410.0
2020-05-27,Brasil,Sao Paulo,89483.0,12106920,2017.0,7391.0
2020-05-27,Estados Unidos,New York,364965.0,8398748,2018.0,43455.0
2020-05-27,España,Madrid,68066.0,3266126,2020.0,20840.0
2020-05-28,Colombia,Bogotá,8536.0,7743955,2020.0,1102.0
2020-05-28,Argentina,Buenos Aires,8429.0,3075646,2020.0,2741.0
2020-05-28,Brasil,Brasilia,8300.0,3015268,2019.0,2753.0
2020-05-28,Chile,Santiago de Chile,69915.0,7460708,2020.0,9371.0
2020-05-06,Ecuador,Guayaquil,9828.0,2723665,2020.0,3608.0
2020-06-06,Ecuador,Guayaquil,9832.0,2723665,2020.0,3610.0
2020-05-28,México,Ciudad de México,22698.0,8985339,2015.0,2526.0
2020-05-28,Perú,Lima,93347.0,9485405,2017.0,9841.0
2020-05-28,Uruguay,Montevideo,559.0,1351162,2020.0,414.0
2020-05-28,Brasil,Sao Paulo,95865.0,12106920,2017.0,7918.0
2020-05-28,Estados Unidos,New York,366733.0,8398748,2018.0,43665.0
2020-05-28,España,Madrid,68451.0,3266126,2020.0,20958.0
2020-05-29,Colombia,Bogotá,9162.0,7743955,2020.0,1183.0
2020-05-29,Argentina,Buenos Aires,8887.0,3075646,2020.0,2889.0
2020-05-29,Brasil,Brasilia,8722.0,3015268,2019.0,2893.0
2020-05-29,Chile,Santiago de Chile,72910.0,7460708,2020.0,9773.0
2020-07-06,Ecuador,Guayaquil,9880.0,2723665,2020.0,3627.0
2020-08-06,Ecuador,Guayaquil,9880.0,2723665,2020.0,3627.0
2020-05-29,México,Ciudad de México,23623.0,8985339,2015.0,2629.0
2020-05-29,Perú,Lima,96347.0,9485405,2017.0,10157.0
2020-05-29,Uruguay,Montevideo,561.0,1351162,2020.0,415.0
2020-05-29,Brasil,Sao Paulo,101556.0,12106920,2017.0,8388.0
2020-05-29,Estados Unidos,New York,368284.0,8398748,2018.0,43850.0
2020-05-29,España,Madrid,68597.0,3266126,2020.0,21003.0
2020-05-30,Colombia,Bogotá,9637.0,7743955,2020.0,1244.0
2020-05-30,Argentina,Buenos Aires,9392.0,3075646,2020.0,3054.0
2020-05-30,Brasil,Brasilia,18196.0,3015268,2019.0,6035.0
2020-05-30,Chile,Santiago de Chile,76251.0,7460708,2020.0,10220.0
2020-09-06,Ecuador,Guayaquil,9880.0,2723665,2020.0,3627.0
2020-10-06,Ecuador,Guayaquil,9892.0,2723665,2020.0,3632.0
2020-05-30,México,Ciudad de México,24265.0,8985339,2015.0,2701.0
2020-05-30,Perú,Lima,98785.0,9485405,2017.0,10414.0
2020-05-30,Uruguay,Montevideo,562.0,1351162,2020.0,416.0
2020-05-30,Brasil,Sao Paulo,107142.0,12106920,2017.0,8850.0
2020-05-30,Estados Unidos,New York,369660.0,8398748,2018.0,44014.0
2020-05-30,España,Madrid,68740.0,3266126,2020.0,21046.0
2020-05-31,Colombia,Bogotá,9989.0,7743955,2020.0,1290.0
2020-05-31,Argentina,Buenos Aires,9786.0,3075646,2020.0,3182.0
2020-05-31,Brasil,Brasilia,9780.0,3015268,2019.0,3243.0
2020-05-31,Chile,Santiago de Chile,80504.0,7460708,2020.0,10790.0
2020-11-06,Ecuador,Guayaquil,9901.0,2723665,2020.0,3635.0
2020-12-06,Ecuador,Guayaquil,9901.0,2723665,2020.0,3635.0
2020-05-31,México,Ciudad de México,25018.0,8985339,2015.0,2784.0
2020-05-31,Perú,Lima,100085.0,9485405,2017.0,10551.0
2020-05-31,Uruguay,Montevideo,562.0,1351162,2020.0,416.0
2020-05-31,Brasil,Sao Paulo,109698.0,12106920,2017.0,9061.0
2020-05-31,Estados Unidos,New York,370770.0,8398748,2018.0,44146.0
2020-05-31,España,Madrid,68830.0,3266126,2020.0,21074.0
2020-01-06,Colombia,Bogotá,10370.0,7743955,2020.0,1339.0
2020-01-06,Argentina,Buenos Aires,9786.0,3075646,2020.0,3182.0
2020-01-06,Brasil,Brasilia,10510.0,3015268,2019.0,3486.0
2020-01-06,Chile,Santiago de Chile,85239.0,7460708,2020.0,11425.0
2020-06-13,Ecuador,Guayaquil,9901.0,2723665,2020.0,3635.0
2020-06-14,Ecuador,Guayaquil,9901.0,2723665,2020.0,3635.0
2020-01-06,México,Ciudad de México,25787.0,8985339,2015.0,2870.0
2020-01-06,Perú,Lima,102022.0,9485405,2017.0,10756.0
2020-01-06,Uruguay,Montevideo,562.0,1351162,2020.0,416.0
2020-01-06,Brasil,Sao Paulo,111296.0,12106920,2017.0,9193.0
2020-01-06,Estados Unidos,New York,371711.0,8398748,2018.0,44258.0
2020-01-06,España,Madrid,68852.0,3266126,2020.0,21081.0
2020-02-06,Colombia,Bogotá,10743.0,7743955,2020.0,1387.0
