Comparativo Ciudades,,,,,,,,
,,,,,,,,
Fecha,País,Ciudad,Casos confirmados acumulad,Fallecidos,Población (millones),Año población,Casos millón hab,Fallecidos millón hab
20/05/2020,Argentina,Buenos Aires,4718,162,3075646,2020,1534,53
20/05/2020,Brasil,Brasilia,5161,77,3015268,2019,1712,26
20/05/2020,Chile,Santiago de Chile,41179,348,7460708,2020,5519,47
21/05/2020,Ecuador,Guayaquil,9392,911,2723665,2020,3448,334
20/05/2020,México,Ciudad de México,15844,1347,8985339,2015,1763,150
20/05/2020,Perú,Lima,68497,3470,9485405,2017,7221,366
20/05/2020,Uruguay,Montevideo,538,14,1351162,2020,398,10
20/05/2020,Brasil,Sao Paulo,69859,5363,12106920,2017,5770,443
20/05/2020,Estados Unidos,New York,354370,28636,8398748,2018,42193,3410
20/05/2020,España,Madrid,67049,8931,3266126,2020,20529,2734
20/05/2020,Colombia,Bogotá,6189,182,7743955,2020,799,24
21/05/2020,Argentina,Buenos Aires,5200,168,3075646,2020,1691,55
21/05/2020,Brasil,Brasilia,5542,84,3015268,2019,1838,28
21/05/2020,Chile,Santiago de Chile,44641,388,7460708,2020,5983,52
22/05/2020,Ecuador,Guayaquil,9395,959,2723665,2020,3449,352
23/05/2020,Ecuador,Guayaquil,9395,959,2723665,2020,3449,352
21/05/2020,México,Ciudad de México,16758,1461,8985339,2015,1865,163
21/05/2020,Perú,Lima,71361,3566,9485405,2017,7523,376
21/05/2020,Uruguay,Montevideo,539,14,1351162,2020,399,10
21/05/2020,Brasil,Sao Paulo,73739,5558,12106920,2017,6091,459
21/05/2020,Estados Unidos,New York,356458,28743,8398748,2018,42442,3422
21/05/2020,España,Madrid,67049,8931,3266126,2020,20529,2734
21/05/2020,Colombia,Bogotá,6311,189,7743955,2020,815,24
22/05/2020,Colombia,Bogotá,6591,197,7743955,2020,851,25
22/05/2020,Argentina,Buenos Aires,5677,180,3075646,2020,1846,59
22/05/2020,Brasil,Brasilia,5948,90,3015268,2019,1973,30
22/05/2020,Chile,Santiago de Chile,48350,423,7460708,2020,6481,57
24/05/2020,Ecuador,Guayaquil,9606,966,2723665,2020,3527,355
25/05/2020,Ecuador,Guayaquil,9624,987,2723665,2020,3533,362
22/05/2020,México,Ciudad de México,17690,1556,8985339,2015,1969,173
22/05/2020,Perú,Lima,74583,3673,9485405,2017,7863,387
22/05/2020,Uruguay,Montevideo,542,14,1351162,2020,401,10
22/05/2020,Brasil,Sao Paulo,76871,5733,12106920,2017,6349,474
22/05/2020,Estados Unidos,New York,358154,28853,8398748,2018,42644,3435
22/05/2020,España,Madrid,67425,8944,3266126,2020,20644,2738
23/05/2020,Colombia,Bogotá,6972,203,7743955,2020,900,26
23/05/2020,Argentina,Buenos Aires,6146,185,3075646,2020,1998,60
23/05/2020,Brasil,Brasilia,6251,95,3015268,2019,2073,32
23/05/2020,Chile,Santiago de Chile,51399,455,7460708,2020,6889,61
26/05/2020,Ecuador,Guayaquil,9637,990,2723665,2020,3538,363
27/05/2020,Ecuador,Guayaquil,9637,990,2723665,2020,3538,363
23/05/2020,México,Ciudad de México,18912,1596,8985339,2015,2105,178
23/05/2020,Perú,Lima,77376,3774,9485405,2017,8157,398
23/05/2020,Uruguay,Montevideo,544,14,1351162,2020,403,10
23/05/2020,Brasil,Sao Paulo,76871,5773,12106920,2017,6349,477
23/05/2020,Estados Unidos,New York,359926,28926,8398748,2018,42855,3444
23/05/2020,España,Madrid,67610,8956,3266126,2020,20700,2742
24/05/2020,Colombia,Bogotá,7211,206,7743955,2020,931,27
24/05/2020,Argentina,Buenos Aires,6146,185,3075646,2020,1998,60
24/05/2020,Brasil,Brasilia,6638,104,3015268,2019,2201,34
24/05/2020,Chile,Santiago de Chile,58930,529,7460708,2020,7899,71
28/05/2020,Ecuador,Guayaquil,9650,990,2723665,2020,3543,363
29/05/2020,Ecuador,Guayaquil,9653,991,2723665,2020,3544,364
24/05/2020,México,Ciudad de México,19682,1655,8985339,2015,2190,184
24/05/2020,Perú,Lima,78299,3907,9485405,2017,8255,412
24/05/2020,Uruguay,Montevideo,549,14,1351162,2020,406,10
24/05/2020,Brasil,Sao Paulo,82161,6163,12106920,2017,6786,509
24/05/2020,Estados Unidos,New York,361515,29141,8398748,2018,43044,3470
24/05/2020,España,Madrid,67871,8977,3266126,2020,20780,2749
25/05/2020,Colombia,Bogotá,7386,212,7743955,2020,954,27
25/05/2020,Argentina,Buenos Aires,7153,196,3075646,2020,2326,64
25/05/2020,Brasil,Brasilia,6930,114,3015268,2019,2298,38
25/05/2020,Chile,Santiago de Chile,58930,529,7460708,2020,7899,71
30/05/2020,Ecuador,Guayaquil,9653,991,2723665,2020,3544,364
31/05/2020,Ecuador,Guayaquil,9653,991,2723665,2020,3544,364
25/05/2020,México,Ciudad de México,20235,1710,8985339,2015,2252,190
25/05/2020,Perú,Lima,82138,4029,9485405,2017,8659,425
25/05/2020,Uruguay,Montevideo,549,14,1351162,2020,406,10
25/05/2020,Brasil,Sao Paulo,83625,6220,12106920,2017,6907,514
25/05/2020,Estados Unidos,New York,362764,29229,8398748,2018,43193,3480
25/05/2020,España,Madrid,67932,8686,3266126,2020,20799,2659
26/05/2020,Colombia,Bogotá,7743,218,7743955,2020,1000,28
26/05/2020,Argentina,Buenos Aires,7474,204,3075646,2020,2430,66
26/05/2020,Brasil,Brasilia,7210,124,3015268,2019,2391,41
26/05/2020,Chile,Santiago de Chile,62285,567,7460708,2020,8348,76
1/06/2020,Ecuador,Guayaquil,9653,991,2723665,2020,3544,364
2/06/2020,Ecuador,Guayaquil,9653,991,2723665,2020,3544,364
26/05/2020,México,Ciudad de México,20999,1824,8985339,2015,2337,203
26/05/2020,Perú,Lima,85950,4063,9485405,2017,9061,428
26/05/2020,Uruguay,Montevideo,550,14,1351162,2020,407,10
26/05/2020,Brasil,Sao Paulo,806017,6423,12106920,2017,66575,531
26/05/2020,Estados Unidos,New York,363836,29302,8398748,2018,43320,3489
26/05/2020,España,Madrid,68066,8691,3266126,2020,20840,2661
27/05/2020,Colombia,Bogotá,8045,225,7743955,2020,1039,29
27/05/2020,Argentina,Buenos Aires,7936,211,3075646,2020,2580,69
27/05/2020,Brasil,Brasilia,7761,133,3015268,2019,2574,44
27/05/2020,Chile,Santiago de Chile,66011,595,7460708,2020,8848,80
3/06/2020,Ecuador,Guayaquil,9653,991,2723665,2020,3544,364
4/06/2020,Ecuador,Guayaquil,9653,991,2723665,2020,3544,364
27/05/2020,México,Ciudad de México,21826,1945,8985339,2015,2429,216
27/05/2020,Perú,Lima,89970,4127,9485405,2017,9485,435
27/05/2020,Uruguay,Montevideo,554,14,1351162,2020,410,10
27/05/2020,Brasil,Sao Paulo,89483,6712,12106920,2017,7391,554
27/05/2020,Estados Unidos,New York,364965,29484,8398748,2018,43455,3511
27/05/2020,España,Madrid,68066,8691,3266126,2020,20840,2661
28/05/2020,Colombia,Bogotá,8536,229,7743955,2020,1102,30
28/05/2020,Argentina,Buenos Aires,8429,212,3075646,2020,2741,69
28/05/2020,Brasil,Brasilia,8300,142,3015268,2019,2753,47
28/05/2020,Chile,Santiago de Chile,69915,638,7460708,2020,9371,86
5/06/2020,Ecuador,Guayaquil,9828,1025,2723665,2020,3608,376
6/06/2020,Ecuador,Guayaquil,9832,1030,2723665,2020,3610,378
28/05/2020,México,Ciudad de México,22698,2044,8985339,2015,2526,227
28/05/2020,Perú,Lima,93347,4195,9485405,2017,9841,442
28/05/2020,Uruguay,Montevideo,559,14,1351162,2020,414,10
28/05/2020,Brasil,Sao Paulo,95865,6980,12106920,2017,7918,577
28/05/2020,Estados Unidos,New York,366733,29529,8398748,2018,43665,3516
28/05/2020,España,Madrid,68451,8691,3266126,2020,20958,2661
29/05/2020,Colombia,Bogotá,9162,239,7743955,2020,1183,31
29/05/2020,Argentina,Buenos Aires,8887,219,3075646,2020,2889,71
29/05/2020,Brasil,Brasilia,8722,154,3015268,2019,2893,51
29/05/2020,Chile,Santiago de Chile,72910,685,7460708,2020,9773,92
7/06/2020,Ecuador,Guayaquil,9880,1030,2723665,2020,3627,378
8/06/2020,Ecuador,Guayaquil,9880,1030,2723665,2020,3627,378
29/05/2020,México,Ciudad de México,23623,2131,8985339,2015,2629,237
