,epi_week,date,country,city,newCases,totalCases,state,ibgeID,cod_RegiaoDeSaude,name_RegiaoDeSaude,newDeaths,deaths,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,_source,last_info_date
0,9,2020-02-25,Brazil,Sao_Paulo,1,1,SP,3550308,35016.0,Sao_Paulo,0,0,0.0,0.00811,0.0,SES,2021-05-15
2,9,2020-02-26,Brazil,Sao_Paulo,0,1,SP,3550308,35016.0,Sao_Paulo,0,0,0.0,0.00811,0.0,SES,2021-05-15
4,9,2020-02-27,Brazil,Sao_Paulo,0,1,SP,3550308,35016.0,Sao_Paulo,0,0,0.0,0.00811,0.0,SES,2021-05-15
6,9,2020-02-28,Brazil,Sao_Paulo,1,2,SP,3550308,35016.0,Sao_Paulo,0,0,0.0,0.01623,0.0,SES,2021-05-15
8,9,2020-02-29,Brazil,Sao_Paulo,0,2,SP,3550308,35016.0,Sao_Paulo,0,0,0.0,0.01623,0.0,SES,2021-05-15
10,10,2020-03-01,Brazil,Sao_Paulo,0,2,SP,3550308,35016.0,Sao_Paulo,0,0,0.0,0.01623,0.0,SES,2021-05-15
12,10,2020-03-02,Brazil,Sao_Paulo,0,2,SP,3550308,35016.0,Sao_Paulo,0,0,0.0,0.01623,0.0,SES,2021-05-15
14,10,2020-03-03,Brazil,Sao_Paulo,0,2,SP,3550308,35016.0,Sao_Paulo,0,0,0.0,0.01623,0.0,SES,2021-05-15
16,10,2020-03-04,Brazil,Sao_Paulo,1,3,SP,3550308,35016.0,Sao_Paulo,0,0,0.0,0.02434,0.0,SES,2021-05-15
19,10,2020-03-05,Brazil,Sao_Paulo,3,6,SP,3550308,35016.0,Sao_Paulo,0,0,0.0,0.04868,0.0,SES,2021-05-15
26,10,2020-03-06,Brazil,Sao_Paulo,0,6,SP,3550308,35016.0,Sao_Paulo,0,0,0.0,0.04868,0.0,SES,2021-05-15
35,10,2020-03-07,Brazil,Sao_Paulo,6,12,SP,3550308,35016.0,Sao_Paulo,0,0,0.0,0.09736,0.0,SES,2021-05-15
46,11,2020-03-08,Brazil,Sao_Paulo,3,15,SP,3550308,35016.0,Sao_Paulo,0,0,0.0,0.1217,0.0,SES,2021-05-15
57,11,2020-03-09,Brazil,Sao_Paulo,0,15,SP,3550308,35016.0,Sao_Paulo,0,0,0.0,0.1217,0.0,SES,2021-05-15
70,11,2020-03-10,Brazil,Sao_Paulo,3,18,SP,3550308,35016.0,Sao_Paulo,0,0,0.0,0.14604,0.0,SES,2021-05-15
84,11,2020-03-11,Brazil,Sao_Paulo,11,29,SP,3550308,35016.0,Sao_Paulo,0,0,0.0,0.23529,0.0,SES,2021-05-15
109,11,2020-03-12,Brazil,Sao_Paulo,15,44,SP,3550308,35016.0,Sao_Paulo,0,0,0.0,0.35699000000000003,0.0,SES,2021-05-15
137,11,2020-03-13,Brazil,Sao_Paulo,0,44,SP,3550308,35016.0,Sao_Paulo,0,0,0.0,0.35699000000000003,0.0,SES,2021-05-15
173,11,2020-03-14,Brazil,Sao_Paulo,18,62,SP,3550308,35016.0,Sao_Paulo,0,0,0.0,0.50303,0.0,SES,2021-05-15
209,12,2020-03-15,Brazil,Sao_Paulo,0,62,SP,3550308,35016.0,Sao_Paulo,0,0,0.0,0.50303,0.0,SES,2021-05-15
254,12,2020-03-16,Brazil,Sao_Paulo,83,145,SP,3550308,35016.0,Sao_Paulo,0,0,0.0,1.17645,0.0,SES,2021-05-15
311,12,2020-03-17,Brazil,Sao_Paulo,11,156,SP,3550308,35016.0,Sao_Paulo,1,1,0.00811,1.2657,0.006409999999999999,SES,2021-05-15
386,12,2020-03-18,Brazil,Sao_Paulo,58,214,SP,3550308,35016.0,Sao_Paulo,2,3,0.02434,1.7362799999999998,0.01402,SES,2021-05-15
474,12,2020-03-19,Brazil,Sao_Paulo,45,259,SP,3550308,35016.0,Sao_Paulo,2,5,0.04057,2.10138,0.01931,SES,2021-05-15
594,12,2020-03-20,Brazil,Sao_Paulo,47,306,SP,3550308,35016.0,Sao_Paulo,4,9,0.07302,2.48271,0.029410000000000002,SES,2021-05-15
737,12,2020-03-21,Brazil,Sao_Paulo,0,306,SP,3550308,35016.0,Sao_Paulo,0,9,0.07302,2.48271,0.029410000000000002,SES,2021-05-15
894,13,2020-03-22,Brazil,Sao_Paulo,0,306,SP,3550308,35016.0,Sao_Paulo,0,9,0.07302,2.48271,0.029410000000000002,SES,2021-05-15
1075,13,2020-03-23,Brazil,Sao_Paulo,0,306,SP,3550308,35016.0,Sao_Paulo,0,9,0.07302,2.48271,0.029410000000000002,SES,2021-05-15
1273,13,2020-03-24,Brazil,Sao_Paulo,0,306,SP,3550308,35016.0,Sao_Paulo,0,9,0.07302,2.48271,0.029410000000000002,SES,2021-05-15
1501,13,2020-03-25,Brazil,Sao_Paulo,416,722,SP,3550308,35016.0,Sao_Paulo,35,44,0.35699000000000003,5.8579,0.06094,SES,2021-05-15
1756,13,2020-03-26,Brazil,Sao_Paulo,177,899,SP,3550308,35016.0,Sao_Paulo,9,53,0.43001000000000006,7.29398,0.05895,SES,2021-05-15
2039,13,2020-03-27,Brazil,Sao_Paulo,145,1044,SP,3550308,35016.0,Sao_Paulo,9,62,0.50303,8.47043,0.05939,SES,2021-05-15
2350,13,2020-03-28,Brazil,Sao_Paulo,0,1044,SP,3550308,35016.0,Sao_Paulo,0,62,0.50303,8.47043,0.05939,SES,2021-05-15
2690,14,2020-03-29,Brazil,Sao_Paulo,0,1044,SP,3550308,35016.0,Sao_Paulo,0,62,0.50303,8.47043,0.05939,SES,2021-05-15
3063,14,2020-03-30,Brazil,Sao_Paulo,189,1233,SP,3550308,35016.0,Sao_Paulo,41,103,0.83568,10.00387,0.08354,SES,2021-05-15
3478,14,2020-03-31,Brazil,Sao_Paulo,652,1885,SP,3550308,35016.0,Sao_Paulo,18,121,0.9817299999999999,15.293829999999998,0.06419,SES,2021-05-15
3932,14,2020-04-01,Brazil,Sao_Paulo,533,2418,SP,3550308,35016.0,Sao_Paulo,23,144,1.16834,19.61829,0.05955,SES,2021-05-15
4433,14,2020-04-02,Brazil,Sao_Paulo,397,2815,SP,3550308,35016.0,Sao_Paulo,20,164,1.3306,22.83933,0.05826,SES,2021-05-15
4991,14,2020-04-03,Brazil,Sao_Paulo,387,3202,SP,3550308,35016.0,Sao_Paulo,22,186,1.5091,25.979229999999998,0.058089999999999996,SES,2021-05-15
5587,14,2020-04-04,Brazil,Sao_Paulo,294,3496,SP,3550308,35016.0,Sao_Paulo,26,212,1.72005,28.36458,0.06064,SES,2021-05-15
6224,15,2020-04-05,Brazil,Sao_Paulo,116,3612,SP,3550308,35016.0,Sao_Paulo,8,220,1.7849599999999999,29.305740000000004,0.06091,SES,2021-05-15
