Extract_Date,Reported_Date,City,is_newyork,Population,Data_Source,New_Cases,mavg_7day_new_cases,new_cases_per_100K,mavg_7day_per_100k_new_cases,daily_temp,daily_humidity,mavg_7_temp,mavg_7_humidity,mavg_15_temp,mavg_15_humidity
2021-05-30,2020-02-29,New York,1,18804000,https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv,1,0.0,0.01,0.01,0.4,44.08,5.702857142857143,58.96142857142856,3.5,56.268
2021-05-30,2020-03-01,New York,1,18804000,https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv,0,0.0,0.0,0.0,-0.1,45.71,5.394285714285714,59.61000000000001,3.432,55.58733333333334
2021-05-30,2020-03-02,New York,1,18804000,https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv,0,0.0,0.0,0.0,6.61,52.25,4.4871428571428575,61.08571428571428,3.8160000000000003,55.34866666666667
2021-05-30,2020-03-03,New York,1,18804000,https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv,1,0.0,0.01,0.0,11.27,70.72,4.317142857142858,61.56142857142857,4.190666666666667,54.403999999999996
2021-05-30,2020-03-04,New York,1,18804000,https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv,5,0.0,0.03,0.01,10.21,58.76,4.688571428571429,60.67000000000001,4.576666666666667,55.58533333333333
2021-05-30,2020-03-05,New York,1,18804000,https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv,3,0.0,0.02,0.01,7.84,48.25,5.04,55.74285714285715,4.895333333333334,55.016666666666666
2021-05-30,2020-03-06,New York,1,18804000,https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv,8,3.0,0.04,0.02,5.15,77.19,5.331428571428572,52.21857142857143,4.97,54.46399999999999
2021-05-30,2020-03-07,New York,1,18804000,https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv,7,3.0,0.04,0.02,4.51,59.54,5.911428571428572,56.70857142857143,5.267333333333334,56.70466666666667
2021-05-30,2020-03-08,New York,1,18804000,https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv,21,6.0,0.11,0.04,6.38,37.08,6.498571428571428,58.91714285714285,5.720666666666667,57.94866666666667
2021-05-30,2020-03-09,New York,1,18804000,https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv,57,15.0,0.3,0.08,12.35,36.33,7.424285714285714,57.68428571428571,5.975333333333334,57.784666666666666
2021-05-30,2020-03-10,New York,1,18804000,https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv,69,24.0,0.37,0.13,14.87,48.21,8.244285714285715,55.410000000000004,6.382000000000001,57.84799999999999
2021-05-30,2020-03-11,New York,1,18804000,https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv,155,46.0,0.82,0.24,11.42,54.38,8.758571428571427,52.194285714285705,6.8533333333333335,57.800666666666665
2021-05-30,2020-03-12,New York,1,18804000,https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv,355,96.0,1.89,0.51,7.59,61.71,8.93142857142857,51.568571428571424,7.036666666666666,56.29533333333333
2021-05-30,2020-03-13,New York,1,18804000,https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv,619,183.0,3.29,0.97,11.84,81.48,8.895714285714286,53.491428571428564,7.026000000000001,54.19266666666667
2021-05-30,2020-03-14,New York,1,18804000,https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv,642,274.0,3.41,1.46,10.22,33.46,9.851428571428572,54.104285714285716,7.4286666666666665,54.763333333333335
2021-05-30,2020-03-15,New York,1,18804000,https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv,1035,419.0,5.5,2.23,8.44,39.46,10.667142857142858,50.37857142857143,8.037333333333333,53.943333333333335
2021-05-30,2020-03-16,New York,1,18804000,https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv,2121,714.0,11.28,3.79,4.49,43.0,10.961428571428572,50.71857142857143,8.573333333333332,53.63533333333333
2021-05-30,2020-03-17,New York,1,18804000,https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv,2452,1054.0,13.04,5.6,7.22,78.04,9.838571428571427,51.67142857142857,8.879333333333333,53.45466666666666
2021-05-30,2020-03-18,New York,1,18804000,https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv,2971,1456.0,15.8,7.74,8.53,52.33,8.745714285714286,55.932857142857145,8.919999999999998,55.17399999999999
2021-05-30,2020-03-19,New York,1,18804000,https://github.com/nychealth/coronavirus-data/blob/master/trends/data-by-day.csv,3707,1935.0,19.71,10.29,7.36,82.41,8.332857142857142,55.64,8.737333333333334,53.948
