date_of_interest,CASE_COUNT,CASE_COUNT_7DAY_AVG,ALL_CASE_COUNT_7DAY_AVG
2020-02-29,1,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,1,0,0
2020-03-04,5,0,0
2020-03-05,3,0,0
2020-03-06,8,3,3
2020-03-07,7,3,3
2020-03-08,21,6,6
2020-03-09,57,15,15
2020-03-10,69,24,24
2020-03-11,155,46,46
2020-03-12,355,96,96
2020-03-13,619,183,183
2020-03-14,642,274,274
2020-03-15,1035,419,419
2020-03-16,2121,714,714
2020-03-17,2452,1054,1055
2020-03-18,2971,1456,1458
2020-03-19,3707,1935,1937
2020-03-20,4007,2419,2422
2020-03-21,2638,2704,2708
2020-03-22,2580,2925,2929
2020-03-23,3570,3132,3138
2020-03-24,4500,3425,3432
2020-03-25,4874,3697,3705
2020-03-26,5046,3888,3902
2020-03-27,5117,4046,4066
2020-03-28,3480,4167,4193
2020-03-29,3560,4307,4341
2020-03-30,6130,4672,4717
2020-03-31,5459,4809,4865
2020-04-01,5448,4891,4959
2020-04-02,5747,4992,5077
2020-04-03,5669,5070,5173
2020-04-04,3864,5125,5248
2020-04-05,3781,5157,5295
2020-04-06,6354,5189,5347
2020-04-07,6042,5272,5449
2020-04-08,5579,5291,5481
2020-04-09,5072,5194,5388
2020-04-10,4510,5029,5225
2020-04-11,3733,5010,5204
2020-04-12,2887,4882,5076
2020-04-13,3312,4448,4636
2020-04-14,4144,4177,4354
2020-04-15,3875,3933,4097
2020-04-16,3531,3713,3869
2020-04-17,3584,3581,3724
2020-04-18,2172,3358,3493
2020-04-19,2345,3280,3403
2020-04-20,3792,3349,3459
2020-04-21,3063,3195,3298
2020-04-22,3447,3133,3233
2020-04-23,2841,3035,3127
2020-04-24,2535,2885,2972
2020-04-25,1595,2803,2880
2020-04-26,1003,2611,2683
2020-04-27,2288,2396,2462
2020-04-28,2727,2348,2405
2020-04-29,2340,2190,2240
2020-04-30,2022,2073,2116
2020-05-01,1887,1980,2020
2020-05-02,1058,1904,1941
2020-05-03,787,1873,1907
2020-05-04,1550,1767,1799
2020-05-05,1512,1594,1624
2020-05-06,1398,1459,1488
2020-05-07,1239,1347,1375
2020-05-08,1081,1232,1257
2020-05-09,657,1175,1197
2020-05-10,457,1128,1147
2020-05-11,1231,1082,1099
2020-05-12,1285,1050,1066
2020-05-13,1334,1041,1054
2020-05-14,1110,1022,1035
2020-05-15,873,992,1004
2020-05-16,485,968,981
2020-05-17,360,954,967
2020-05-18,895,906,918
2020-05-19,1003,866,877
2020-05-20,1077,829,840
2020-05-21,1069,823,833
