Reported_date,Country,City,total_confirmed_cases,Population,Census_year,cases_per_million
2020-05-20,Brasil,Sao Paulo,69859,12106920,2017,5770.0
2020-05-20,Estados Unidos,New York,354370,8398748,2018,42193.0
2020-05-21,Brasil,Sao Paulo,73739,12106920,2017,6091.0
2020-05-21,Estados Unidos,New York,356458,8398748,2018,42442.0
2020-05-22,Brasil,Sao Paulo,76871,12106920,2017,6349.0
2020-05-22,Estados Unidos,New York,358154,8398748,2018,42644.0
2020-05-23,Brasil,Sao Paulo,76871,12106920,2017,6349.0
2020-05-23,Estados Unidos,New York,359926,8398748,2018,42855.0
2020-05-24,Brasil,Sao Paulo,82161,12106920,2017,6786.0
2020-05-24,Estados Unidos,New York,361515,8398748,2018,43044.0
2020-05-25,Brasil,Sao Paulo,83625,12106920,2017,6907.0
2020-05-25,Estados Unidos,New York,362764,8398748,2018,43193.0
2020-05-26,Brasil,Sao Paulo,806017,12106920,2017,66575.0
2020-05-26,Estados Unidos,New York,363836,8398748,2018,43320.0
2020-05-27,Brasil,Sao Paulo,89483,12106920,2017,7391.0
2020-05-27,Estados Unidos,New York,364965,8398748,2018,43455.0
2020-05-28,Brasil,Sao Paulo,95865,12106920,2017,7918.0
2020-05-28,Estados Unidos,New York,366733,8398748,2018,43665.0
2020-05-29,Brasil,Sao Paulo,101556,12106920,2017,8388.0
2020-05-29,Estados Unidos,New York,368284,8398748,2018,43850.0
2020-05-30,Brasil,Sao Paulo,107142,12106920,2017,8850.0
2020-05-30,Estados Unidos,New York,369660,8398748,2018,44014.0
2020-05-31,Brasil,Sao Paulo,109698,12106920,2017,9061.0
2020-05-31,Estados Unidos,New York,370770,8398748,2018,44146.0
2020-06-01,Brasil,Sao Paulo,111296,12106920,2017,9193.0
2020-06-01,Estados Unidos,New York,371711,8398748,2018,44258.0
2020-06-02,Brasil,Sao Paulo,118295,12106920,2017,9771.0
2020-06-02,Estados Unidos,New York,373040,8398748,2018,44416.0
2020-06-03,Brasil,Sao Paulo,123483,12106920,2017,10199.0
2020-06-03,Estados Unidos,New York,374085,8398748,2018,44541.0
2020-06-04,Brasil,Sao Paulo,129200,12106920,2017,10672.0
2020-06-04,Estados Unidos,New York,375133,8398748,2018,44665.0
2020-06-05,Brasil,Sao Paulo,129200,12106920,2017,10672.0
2020-06-05,Estados Unidos,New York,376208,8398748,2018,44793.0
2020-06-06,Brasil,Sao Paulo,140549,12106920,2017,11609.0
2020-06-06,Estados Unidos,New York,377316,8398748,2018,44925.0
2020-06-07,Brasil,Sao Paulo,74796,12252023,2017,6105.0
2020-06-07,Estados Unidos,New York,378097,8398748,2018,45018.0
2020-06-08,Brasil,Sao Paulo,74796,12252023,2017,6105.0
2020-06-08,Estados Unidos,New York,378799,8398748,2018,45102.0
2020-06-09,Brasil,Sao Paulo,74796,12252023,2017,6105.0
