,epi_week,date,country,city,newCases,totalCases,state,ibgeID,cod_RegiaoDeSaude,name_RegiaoDeSaude,newDeaths,deaths,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,_source,last_info_date
0,9,02/25/20,Brazil,Sao_Paulo,1,1,SP,3550308,35016,Sao_Paulo,0,0,0,0.00811,0,SES,05/15/21
2,9,02/26/20,Brazil,Sao_Paulo,0,1,SP,3550308,35016,Sao_Paulo,0,0,0,0.00811,0,SES,05/15/21
4,9,02/27/20,Brazil,Sao_Paulo,0,1,SP,3550308,35016,Sao_Paulo,0,0,0,0.00811,0,SES,05/15/21
6,9,02/28/20,Brazil,Sao_Paulo,1,2,SP,3550308,35016,Sao_Paulo,0,0,0,0.01623,0,SES,05/15/21
8,9,02/29/20,Brazil,Sao_Paulo,0,2,SP,3550308,35016,Sao_Paulo,0,0,0,0.01623,0,SES,05/15/21
10,10,03/01/20,Brazil,Sao_Paulo,0,2,SP,3550308,35016,Sao_Paulo,0,0,0,0.01623,0,SES,05/15/21
12,10,03/02/20,Brazil,Sao_Paulo,0,2,SP,3550308,35016,Sao_Paulo,0,0,0,0.01623,0,SES,05/15/21
14,10,03/03/20,Brazil,Sao_Paulo,0,2,SP,3550308,35016,Sao_Paulo,0,0,0,0.01623,0,SES,05/15/21
16,10,03/04/20,Brazil,Sao_Paulo,1,3,SP,3550308,35016,Sao_Paulo,0,0,0,0.02434,0,SES,05/15/21
19,10,03/05/20,Brazil,Sao_Paulo,3,6,SP,3550308,35016,Sao_Paulo,0,0,0,0.04868,0,SES,05/15/21
26,10,03/06/20,Brazil,Sao_Paulo,0,6,SP,3550308,35016,Sao_Paulo,0,0,0,0.04868,0,SES,05/15/21
35,10,03/07/20,Brazil,Sao_Paulo,6,12,SP,3550308,35016,Sao_Paulo,0,0,0,0.09736,0,SES,05/15/21
46,11,03/08/20,Brazil,Sao_Paulo,3,15,SP,3550308,35016,Sao_Paulo,0,0,0,0.1217,0,SES,05/15/21
57,11,03/09/20,Brazil,Sao_Paulo,0,15,SP,3550308,35016,Sao_Paulo,0,0,0,0.1217,0,SES,05/15/21
70,11,03/10/20,Brazil,Sao_Paulo,3,18,SP,3550308,35016,Sao_Paulo,0,0,0,0.14604,0,SES,05/15/21
84,11,03/11/20,Brazil,Sao_Paulo,11,29,SP,3550308,35016,Sao_Paulo,0,0,0,0.23529,0,SES,05/15/21
109,11,03/12/20,Brazil,Sao_Paulo,15,44,SP,3550308,35016,Sao_Paulo,0,0,0,0.35699,0,SES,05/15/21
137,11,03/13/20,Brazil,Sao_Paulo,0,44,SP,3550308,35016,Sao_Paulo,0,0,0,0.35699,0,SES,05/15/21
173,11,03/14/20,Brazil,Sao_Paulo,18,62,SP,3550308,35016,Sao_Paulo,0,0,0,0.50303,0,SES,05/15/21
209,12,03/15/20,Brazil,Sao_Paulo,0,62,SP,3550308,35016,Sao_Paulo,0,0,0,0.50303,0,SES,05/15/21
254,12,03/16/20,Brazil,Sao_Paulo,83,145,SP,3550308,35016,Sao_Paulo,0,0,0,1.17645,0,SES,05/15/21
311,12,03/17/20,Brazil,Sao_Paulo,11,156,SP,3550308,35016,Sao_Paulo,1,1,0.00811,1.2657,0.00641,SES,05/15/21
386,12,03/18/20,Brazil,Sao_Paulo,58,214,SP,3550308,35016,Sao_Paulo,2,3,0.02434,1.73628,0.01402,SES,05/15/21
474,12,03/19/20,Brazil,Sao_Paulo,45,259,SP,3550308,35016,Sao_Paulo,2,5,0.04057,2.10138,0.01931,SES,05/15/21
594,12,03/20/20,Brazil,Sao_Paulo,47,306,SP,3550308,35016,Sao_Paulo,4,9,0.07302,2.48271,0.02941,SES,05/15/21
737,12,03/21/20,Brazil,Sao_Paulo,0,306,SP,3550308,35016,Sao_Paulo,0,9,0.07302,2.48271,0.02941,SES,05/15/21
894,13,03/22/20,Brazil,Sao_Paulo,0,306,SP,3550308,35016,Sao_Paulo,0,9,0.07302,2.48271,0.02941,SES,05/15/21
1075,13,03/23/20,Brazil,Sao_Paulo,0,306,SP,3550308,35016,Sao_Paulo,0,9,0.07302,2.48271,0.02941,SES,05/15/21
1273,13,03/24/20,Brazil,Sao_Paulo,0,306,SP,3550308,35016,Sao_Paulo,0,9,0.07302,2.48271,0.02941,SES,05/15/21
1501,13,03/25/20,Brazil,Sao_Paulo,416,722,SP,3550308,35016,Sao_Paulo,35,44,0.35699,5.8579,0.06094,SES,05/15/21
1756,13,03/26/20,Brazil,Sao_Paulo,177,899,SP,3550308,35016,Sao_Paulo,9,53,0.43001,7.29398,0.05895,SES,05/15/21
2039,13,03/27/20,Brazil,Sao_Paulo,145,1044,SP,3550308,35016,Sao_Paulo,9,62,0.50303,8.47043,0.05939,SES,05/15/21
2350,13,03/28/20,Brazil,Sao_Paulo,0,1044,SP,3550308,35016,Sao_Paulo,0,62,0.50303,8.47043,0.05939,SES,05/15/21
2690,14,03/29/20,Brazil,Sao_Paulo,0,1044,SP,3550308,35016,Sao_Paulo,0,62,0.50303,8.47043,0.05939,SES,05/15/21
3063,14,03/30/20,Brazil,Sao_Paulo,189,1233,SP,3550308,35016,Sao_Paulo,41,103,0.83568,10.00387,0.08354,SES,05/15/21
3478,14,03/31/20,Brazil,Sao_Paulo,652,1885,SP,3550308,35016,Sao_Paulo,18,121,0.98173,15.29383,0.06419,SES,05/15/21
3932,14,04/01/20,Brazil,Sao_Paulo,533,2418,SP,3550308,35016,Sao_Paulo,23,144,1.16834,19.61829,0.05955,SES,05/15/21
4433,14,04/02/20,Brazil,Sao_Paulo,397,2815,SP,3550308,35016,Sao_Paulo,20,164,1.3306,22.83933,0.05826,SES,05/15/21
4991,14,04/03/20,Brazil,Sao_Paulo,387,3202,SP,3550308,35016,Sao_Paulo,22,186,1.5091,25.97923,0.05809,SES,05/15/21
5587,14,04/04/20,Brazil,Sao_Paulo,294,3496,SP,3550308,35016,Sao_Paulo,26,212,1.72005,28.36458,0.06064,SES,05/15/21
6224,15,04/05/20,Brazil,Sao_Paulo,116,3612,SP,3550308,35016,Sao_Paulo,8,220,1.78496,29.30574,0.06091,SES,05/15/21
6920,15,04/06/20,Brazil,Sao_Paulo,142,3754,SP,3550308,35016,Sao_Paulo,24,244,1.97968,30.45784,0.065,SES,05/15/21
7673,15,04/07/20,Brazil,Sao_Paulo,504,4258,SP,3550308,35016,Sao_Paulo,52,296,2.40158,34.54702,0.06952,SES,05/15/21
8489,15,04/08/20,Brazil,Sao_Paulo,689,4947,SP,3550308,35016,Sao_Paulo,43,339,2.75046,40.13718,0.06853,SES,05/15/21
9361,15,04/09/20,Brazil,Sao_Paulo,530,5477,SP,3550308,35016,Sao_Paulo,45,384,3.11556,44.4373,0.07011,SES,05/15/21
10276,15,04/10/20,Brazil,Sao_Paulo,505,5982,SP,3550308,35016,Sao_Paulo,25,409,3.3184,48.53458,0.06837,SES,05/15/21
11239,15,04/11/20,Brazil,Sao_Paulo,149,6131,SP,3550308,35016,Sao_Paulo,13,422,3.42387,49.74349,0.06883,SES,05/15/21
12244,16,04/12/20,Brazil,Sao_Paulo,221,6352,SP,3550308,35016,Sao_Paulo,23,445,3.61048,51.53656,0.07006,SES,05/15/21
13288,16,04/13/20,Brazil,Sao_Paulo,66,6418,SP,3550308,35016,Sao_Paulo,11,456,3.69973,52.07204,0.07105,SES,05/15/21
14386,16,04/14/20,Brazil,Sao_Paulo,287,6705,SP,3550308,35016,Sao_Paulo,56,512,4.15408,54.4006,0.07636,SES,05/15/21
