date,City,newcases,total_cases,temp_mean_day,avg_temp_1,_avg_temp_2
2020-02-29,NYC,1,1,0.4,5.7,1.59
2020-03-01,NYC,0,0,-0.1,5.39,2.8
2020-03-02,NYC,0,0,6.61,4.49,3.55
2020-03-03,NYC,1,0,11.27,4.32,3.88
2020-03-04,NYC,5,0,10.21,4.69,4.34
2020-03-05,NYC,3,0,7.84,5.04,4.49
2020-03-06,NYC,8,3,5.15,5.33,5.22
2020-03-07,NYC,7,3,4.51,5.91,5.7
2020-03-08,NYC,21,6,6.38,6.5,5.39
2020-03-09,NYC,57,15,12.35,7.42,4.49
2020-03-10,NYC,69,24,14.87,8.24,4.32
2020-03-11,NYC,155,46,11.42,8.76,4.69
2020-03-12,NYC,355,96,7.59,8.93,5.04
2020-03-13,NYC,619,183,11.84,8.9,5.33
2020-03-14,NYC,642,274,10.22,9.85,5.91
2020-03-15,NYC,1035,419,8.44,10.67,6.5
2020-03-16,NYC,2121,714,4.49,10.96,7.42
2020-03-17,NYC,2452,1054,7.22,9.84,8.24
2020-03-18,NYC,2971,1456,8.53,8.75,8.76
2020-03-19,NYC,3707,1935,7.36,8.33,8.93
2020-03-20,NYC,4007,2419,12.33,8.3,8.9
2020-03-21,NYC,2638,2704,11.95,8.37,9.85
2020-03-22,NYC,2580,2925,4.13,8.62,10.67
2020-03-23,NYC,3570,3132,3.63,8,10.96
2020-03-24,NYC,4500,3425,6.22,7.88,9.84
2020-03-25,NYC,4874,3697,6.35,7.74,8.75
2020-03-26,NYC,5046,3888,7.18,7.42,8.33
2020-03-27,NYC,5117,4046,12.93,7.4,8.3
2020-03-28,NYC,3480,4167,9.76,7.48,8.37
2020-03-29,NYC,3560,4307,7.92,7.17,8.62
2020-03-30,NYC,6130,4672,7.89,7.71,8
2020-03-31,NYC,5459,4809,6.67,8.32,7.88
2020-04-01,NYC,5448,4891,7.19,8.39,7.74
2020-04-02,NYC,5747,4992,8.88,8.51,7.42
2020-04-03,NYC,5669,5070,9.86,8.75,7.4
2020-04-04,NYC,3864,5125,10.71,8.31,7.48
2020-04-05,NYC,3781,5157,10.81,8.45,7.17
2020-04-06,NYC,6354,5189,12.84,8.86,7.71
2020-04-07,NYC,6042,5272,13.93,9.57,8.32
2020-04-08,NYC,5579,5291,14,10.6,8.39
2020-04-09,NYC,5072,5194,10.93,11.58,8.51
2020-04-10,NYC,4510,5029,6.9,11.87,8.75
2020-04-11,NYC,3733,5010,7.62,11.45,8.31
2020-04-12,NYC,2887,4882,10.67,11,8.45
2020-04-13,NYC,3312,4448,14.32,10.98,8.86
2020-04-14,NYC,4144,4177,12.49,11.2,9.57
2020-04-15,NYC,3875,3933,8.79,10.99,10.6
2020-04-16,NYC,3531,3713,7.69,10.25,11.58
2020-04-17,NYC,3584,3581,5.62,9.78,11.87
2020-04-18,NYC,2172,3358,6.64,9.6,11.45
2020-04-19,NYC,2345,3280,9.08,9.46,11
2020-04-20,NYC,3792,3349,11.78,9.23,10.98
2020-04-21,NYC,3063,3195,10.2,8.87,11.2
2020-04-22,NYC,3447,3133,6.25,8.54,10.99
2020-04-23,NYC,2841,3035,6.89,8.18,10.25
2020-04-24,NYC,2535,2885,7.35,8.07,9.78
2020-04-25,NYC,1595,2803,10.68,8.31,9.6
2020-04-26,NYC,1003,2611,9.08,8.89,9.46
2020-04-27,NYC,2288,2396,6.84,8.89,9.23
2020-04-28,NYC,2727,2348,10.25,8.18,8.87
2020-04-29,NYC,2340,2190,10.78,8.19,8.54
2020-04-30,NYC,2022,2073,11.9,8.84,8.18
2020-05-01,NYC,1887,1980,13.85,9.55,8.07
2020-05-02,NYC,1058,1904,16.6,10.48,8.31
2020-05-03,NYC,787,1873,18.88,11.33,8.89
2020-05-04,NYC,1550,1767,18.86,12.73,8.89
2020-05-05,NYC,1512,1594,11.8,14.45,8.18
2020-05-06,NYC,1398,1459,10.57,14.67,8.19
2020-05-07,NYC,1239,1347,12.03,14.64,8.84
2020-05-08,NYC,1081,1232,11.26,14.66,9.55
2020-05-09,NYC,657,1175,5.15,14.29,10.48
2020-05-10,NYC,457,1128,9.42,12.65,11.33
2020-05-11,NYC,1231,1082,12.26,11.3,12.73
2020-05-12,NYC,1285,1050,10.31,10.36,14.45
2020-05-13,NYC,1334,1041,11.29,10.14,14.67
2020-05-14,NYC,1110,1022,13.29,10.25,14.64
2020-05-15,NYC,873,992,20.42,10.43,14.66
2020-05-16,NYC,485,968,21.88,11.73,14.29
2020-05-17,NYC,360,954,16,14.12,12.65
2020-05-18,NYC,895,906,15.34,15.06,11.3
2020-05-19,NYC,1003,866,15.82,15.5,10.36
2020-05-20,NYC,1077,829,13.64,16.29,10.14
2020-05-21,NYC,1069,823,12.87,16.63,10.25
2020-05-22,NYC,1038,847,16.64,16.57,10.43
