date,city_name,lat,lon,temp_mean,humidity_mean,temp_min,temp_max,1_7_day_avg_temp,8_14_day_avg_temp,1_7_day_avg_humidity,8_14_day_avg_humidity,percent_change_in_temp,percent_change_in_humidity
1/1/2020,New York,40.712775,-74.005973,4.07,60.71,2,7.22,,,,,,
1/2/2020,New York,40.712775,-74.005973,3.26,58.62,-3.33,10,,,,,,
1/3/2020,New York,40.712775,-74.005973,7.42,78.12,4.44,9.44,,,,,,
1/4/2020,New York,40.712775,-74.005973,8.63,94.88,6.67,11.11,,,,,,
1/5/2020,New York,40.712775,-74.005973,4.92,59.67,2.22,10.56,,,,,,
1/6/2020,New York,40.712775,-74.005973,2.7,67.04,-1.11,7.78,,,,,,
1/7/2020,New York,40.712775,-74.005973,4.41,51.67,0.56,7.22,,,,,,
1/8/2020,New York,40.712775,-74.005973,2.37,67.79,-1.11,6.67,5.06,,67.24,,,
1/9/2020,New York,40.712775,-74.005973,-1.83,45.54,-5.56,2,4.82,,68.26,,,
1/10/2020,New York,40.712775,-74.005973,3.99,67.29,-1.67,13,4.09,,66.39,,,
1/11/2020,New York,40.712775,-74.005973,12.98,72.46,6.67,21.11,3.6,,64.84,,,
1/12/2020,New York,40.712775,-74.005973,16.91,66.38,11,20,4.22,,61.64,,,
1/13/2020,New York,40.712775,-74.005973,6.19,66.04,1.11,14,5.93,,62.6,,,
1/14/2020,New York,40.712775,-74.005973,5.18,81.96,1.11,8.33,6.43,,62.45,,,
1/15/2020,New York,40.712775,-74.005973,7.21,76.75,4,11.11,6.54,5.06,66.78,67.24,-29.25,0.68
1/16/2020,New York,40.712775,-74.005973,6.97,71.04,2.78,10,7.23,4.82,68.06,68.26,-50,0.29
1/17/2020,New York,40.712775,-74.005973,-1.48,40.42,-6.67,4.55,8.49,4.09,71.7,66.39,-107.58,-8
1/18/2020,New York,40.712775,-74.005973,-4.42,56.04,-7.22,1.11,7.71,3.6,67.86,64.84,-114.17,-4.66
1/19/2020,New York,40.712775,-74.005973,3.39,76.44,-1.67,7.22,5.22,4.22,65.52,61.64,-23.7,-6.29
1/20/2020,New York,40.712775,-74.005973,-2.58,45.25,-7.22,2.78,3.29,5.93,66.96,62.6,44.52,-6.96
1/21/2020,New York,40.712775,-74.005973,-3.47,46.88,-8.33,2.22,2.04,6.43,63.99,62.45,68.27,-2.47
