date,City ,newCases,totalCases,temp_mean,avg_tem_1,avg_temp_2
2020-02-25,SP,1,1,22.91,22.46,21.69
2020-02-26,SP,0,1,22.55,22.04,22.72
2020-02-27,SP,0,1,18.64,21.65,23.61
2020-02-28,SP,1,2,18.57,20.75,24.19
2020-02-29,SP,0,2,20.47,20.22,24.34
2020-03-01,SP,0,2,19.5,20.37,23.77
2020-03-02,SP,0,2,19.61,20.49,23.01
2020-03-03,SP,0,2,19.17,20.32,22.46
2020-03-04,SP,1,3,19.61,19.79,22.04
2020-03-05,SP,3,6,19.74,19.37,21.65
2020-03-06,SP,0,6,19.97,19.52,20.75
2020-03-07,SP,6,12,19.99,19.72,20.22
2020-03-08,SP,3,15,20.08,19.66,20.37
2020-03-09,SP,0,15,21.9,19.74,20.49
2020-03-10,SP,3,18,22.66,20.07,20.32
2020-03-11,SP,11,29,22.58,20.56,19.79
2020-03-12,SP,15,44,22.61,20.99,19.37
2020-03-13,SP,0,44,22.58,21.4,19.52
2020-03-14,SP,18,62,23.65,21.77,19.72
2020-03-15,SP,0,62,24.69,22.29,19.66
2020-03-16,SP,83,145,25.03,22.95,19.74
2020-03-17,SP,11,156,23.35,23.4,20.07
2020-03-18,SP,58,214,23.56,23.5,20.56
2020-03-19,SP,45,259,24.5,23.64,20.99
2020-03-20,SP,47,306,23.37,23.91,21.4
2020-03-21,SP,0,306,20.91,24.02,21.77
2020-03-22,SP,0,306,20.75,23.63,22.29
2020-03-23,SP,0,306,20.67,23.07,22.95
2020-03-24,SP,0,306,20.03,22.44,23.4
2020-03-25,SP,416,722,20.02,21.97,23.5
2020-03-26,SP,177,899,19.68,21.46,23.64
2020-03-27,SP,145,1044,20.33,20.78,23.91
2020-03-28,SP,0,1044,21.92,20.34,24.02
2020-03-29,SP,0,1044,22.58,20.49,23.63
2020-03-30,SP,189,1233,22.1,20.75,23.07
2020-03-31,SP,652,1885,21.62,20.95,22.44
2020-04-01,SP,533,2418,21.62,21.18,21.97
2020-04-02,SP,397,2815,23.92,21.41,21.46
2020-04-03,SP,387,3202,23.45,22.01,20.78
2020-04-04,SP,294,3496,19.98,22.46,20.34
2020-04-05,SP,116,3612,20.33,22.18,20.49
2020-04-06,SP,142,3754,22.43,21.86,20.75
2020-04-07,SP,504,4258,21.2,21.91,20.95
2020-04-08,SP,689,4947,18.4,21.85,21.18
2020-04-09,SP,530,5477,17.76,21.39,21.41
2020-04-10,SP,505,5982,17.95,20.51,22.01
2020-04-11,SP,149,6131,18.25,19.72,22.46
2020-04-12,SP,221,6352,18.82,19.47,22.18
2020-04-13,SP,66,6418,18.96,19.26,21.86
2020-04-14,SP,287,6705,19.79,18.76,21.91
2020-04-15,SP,1059,7764,20.71,18.56,21.85
2020-04-16,SP,144,7908,20,18.89,21.39
2020-04-17,SP,836,8744,18.13,19.21,20.51
2020-04-18,SP,684,9428,18,19.24,19.72
2020-04-19,SP,240,9668,18.87,19.2,19.47
2020-04-20,SP,147,9815,19.18,19.21,19.26
2020-04-21,SP,527,10342,19.17,19.24,18.76
2020-04-22,SP,349,10691,18.86,19.15,18.56
2020-04-23,SP,534,11225,19.26,18.89,18.89
