Reported_date,City,total_confirmed_cases,Population,Census_year,cases_per_million,lat,lon,temp_mean,humidity_mean,temp_min,temp_max,1_7_day_avg_temp,8_14_day_avg_temp,1_7_day_avg_humidity,8_14_day_avg_humidity,percent_change_in_temp,percent_change_in_humidity
2020-05-20,Sao Paulo,69859,12106920,2017,5770.0,-23.550520000000002,-46.633309000000004,19.32,73.38,14.78,26.11,17.56,17.21,74.71,69.12,-2.03,-8.09
2020-05-20,New York,354370,8398748,2018,42193.0,40.712775,-74.005973,13.64,47.46,8.89,20.0,16.29,10.14,54.03,52.8,-60.65,-2.33
2020-05-21,Sao Paulo,73739,12106920,2017,6091.0,-23.550520000000002,-46.633309000000004,19.5,70.17,12.71,26.2,17.58,17.12,76.42,69.21,-2.69,-10.42
2020-05-21,New York,356458,8398748,2018,42442.0,40.712775,-74.005973,12.87,60.62,6.0,20.56,16.63,10.25,55.62,49.52,-62.24,-12.32
2020-05-22,Sao Paulo,76871,12106920,2017,6349.0,-23.550520000000002,-46.633309000000004,20.75,59.33,14.44,29.0,17.7,17.71,75.9,67.58,0.06,-12.31
2020-05-22,New York,358154,8398748,2018,42644.0,40.712775,-74.005973,16.64,74.44,10.0,25.56,16.57,10.43,57.22,48.85,-58.87,-17.13
2020-05-23,Sao Paulo,76871,12106920,2017,6349.0,-23.550520000000002,-46.633309000000004,20.5,72.0,15.56,27.78,18.41,17.79,72.19,68.52,-3.49,-5.36
2020-05-23,New York,359926,8398748,2018,42855.0,40.712775,-74.005973,17.19,91.86,13.89,21.0,16.03,11.73,58.67,51.07,-36.66,-14.88
2020-05-24,Sao Paulo,82161,12106920,2017,6786.0,-23.550520000000002,-46.633309000000004,13.83,70.96,10.94,21.0,18.81,17.91,72.04,68.93,-5.03,-4.51
2020-05-24,New York,361515,8398748,2018,43044.0,40.712775,-74.005973,14.67,65.12,10.56,21.11,15.36,14.12,63.65,50.85,-8.78,-25.17
2020-05-25,Sao Paulo,83625,12106920,2017,6907.0,-23.550520000000002,-46.633309000000004,14.62,61.79,9.88,25.0,18.4,17.85,71.5,69.82,-3.08,-2.41
2020-05-25,New York,362764,8398748,2018,43193.0,40.712775,-74.005973,16.24,75.71,12.78,24.44,15.17,15.06,64.59,52.86,-0.73,-22.19
2020-05-26,Sao Paulo,806017,12106920,2017,66575.0,-23.550520000000002,-46.633309000000004,14.63,53.42,9.0,22.22,18.1,17.66,69.11,72.58,-2.49,4.78
2020-05-26,New York,363836,8398748,2018,43320.0,40.712775,-74.005973,18.04,81.88,12.78,26.11,15.3,15.5,66.6,53.11,1.29,-25.4
2020-05-27,Sao Paulo,89483,12106920,2017,7391.0,-23.550520000000002,-46.633309000000004,14.42,56.88,6.47,22.22,17.59,17.56,65.86,74.71,-0.17,11.85
2020-05-27,New York,364965,8398748,2018,43455.0,40.712775,-74.005973,18.79,80.5,13.89,27.22,15.61,16.29,71.01,54.03,4.17,-31.43
2020-05-28,Sao Paulo,95865,12106920,2017,7918.0,-23.550520000000002,-46.633309000000004,13.83,69.83,6.0,21.11,16.89,17.58,63.51,76.42,3.92,16.89
2020-05-28,New York,366733,8398748,2018,43665.0,40.712775,-74.005973,19.75,86.54,15.0,26.11,16.35,16.63,75.73,55.62,1.68,-36.16
2020-05-29,Sao Paulo,101556,12106920,2017,8388.0,-23.550520000000002,-46.633309000000004,15.59,71.5,7.16,25.56,16.08,17.7,63.46,75.9,9.15,16.39
2020-05-29,New York,368284,8398748,2018,43850.0,40.712775,-74.005973,22.15,82.29,16.67,30.0,17.33,16.57,79.44,57.22,-4.59,-38.83
2020-05-30,Sao Paulo,107142,12106920,2017,8850.0,-23.550520000000002,-46.633309000000004,17.19,67.08,7.0,25.69,15.35,18.41,65.2,72.19,16.62,9.68
2020-05-30,New York,369660,8398748,2018,44014.0,40.712775,-74.005973,22.93,65.38,17.22,29.0,18.12,16.03,80.56,58.67,-13.04,-37.31
2020-05-31,Sao Paulo,109698,12106920,2017,9061.0,-23.550520000000002,-46.633309000000004,17.46,55.71,8.0,27.22,14.87,18.81,64.49,72.04,20.95,10.48
2020-05-31,New York,370770,8398748,2018,44146.0,40.712775,-74.005973,19.1,42.17,12.78,27.0,18.94,15.36,76.77,63.65,-23.31,-20.61
2020-06-01,Sao Paulo,111296,12106920,2017,9193.0,-23.550520000000002,-46.633309000000004,18.27,55.79,8.0,26.0,15.39,18.4,62.32,71.5,16.36,12.84
2020-06-01,New York,371711,8398748,2018,44258.0,40.712775,-74.005973,16.04,40.38,8.89,23.0,19.57,15.17,73.5,64.59,-29.0,-13.79
2020-06-02,Sao Paulo,118295,12106920,2017,9771.0,-23.550520000000002,-46.633309000000004,16.71,84.38,12.8,21.67,15.91,18.1,61.46,69.11,12.1,11.07
